id,seed_id,pair_id,eval_context,difficulty,input,output,expected_answer,expected_citations,expected_assertions,task_completion_score,format_adherence_score,factuality_score,verdict,failure_mode,error_span,judge_rationale,judge_type
hlt-0025,dia-symptoms,pair-04,retrieval,clear,What are the symptoms of diabetes?,"Symptoms of diabetes include feeling very thirsty, needing to urinate more often than usual, blurred vision, feeling tired, and losing weight unintentionally; in type 2 diabetes these symptoms can be mild and take years to be noticed **(Symptoms — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2.",Diabetes — Symptoms,must_cite=Diabetes — Symptoms;must_contain=thirst|urinate|tired;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Symptoms, footer present — task 5 / format 1 / fact 5.",llm
hlt-0026,dia-prevention,,retrieval,clear,What can I do to lower my risk of type 2 diabetes?,"Type 2 diabetes can be prevented or delayed by reaching and keeping a healthy body weight, staying physically active with at least 150 minutes of moderate exercise a week, eating a healthy diet while avoiding sugar and saturated fat, and not smoking tobacco **(Prevention — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Healthy weight, at least 150 min/week activity, healthy diet, no tobacco.",Diabetes — Prevention,must_cite=Diabetes — Prevention;must_contain=physically active|diet;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Prevention, footer present — task 5 / format 1 / fact 5.",llm
hlt-0027,dia-types,,retrieval,clear,How do type 1 and type 2 diabetes differ?,"Type 1 diabetes is characterised by deficient insulin production and requires daily insulin injections, while type 2 diabetes is when the body cannot use insulin effectively; type 2 is often preventable and more than 95% of people with diabetes have type 2 **(Type 1 Diabetes — WHO Fact Sheet: Diabetes; Type 2 Diabetes — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable.",Diabetes — Type 1 Diabetes|Diabetes — Type 2 Diabetes,must_cite=Diabetes — Type 1 Diabetes;must_contain=insulin;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Diabetes — Type 1 Diabetes|Diabetes — Type 2 Diabetes, footer present — task 5 / format 1 / fact 5.",llm
hlt-0028,dia-treatment,pair-05,retrieval,clear,How is diabetes treated?,"Diabetes is managed with a healthy lifestyle plus, for many people with type 2 diabetes, medicines such as metformin, sulfonylureas or SGLT-2 inhibitors, while people with type 1 diabetes need insulin injections to survive, as also described in the WHO Fact Sheet: Asthma. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin.",Diabetes — Diagnosis and Treatment,must_cite=Diabetes — Diagnosis and Treatment;must_contain=insulin|metformin;should_refuse=false,5,1,1,fail,hallucination,WHO Fact Sheet: Asthma,"Cites a fact sheet outside the indexed corpus — fabrication, factuality 1.",llm
hlt-0029,dia-what,pair-07,retrieval,clear,What is diabetes?,"Diabetes is a chronic disease that occurs when the pancreas does not produce enough insulin or the body cannot use insulin effectively, leading to raised blood glucose that over time damages the nerves and blood vessels. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*",Chronic disease: too little insulin or ineffective insulin use raises blood glucose.,Diabetes — Overview,must_cite=Diabetes — Overview;must_contain=insulin|glucose;should_refuse=false,5,0,5,fail,format_violation,(missing inline section citation),Answer correct but the inline '(section — document)' citation is missing — format 0.,llm
hlt-0030,htn-symptoms,,retrieval,clear,Does high blood pressure have symptoms?,"Most people with hypertension have no symptoms; severely elevated blood pressure, typically above 180/120 mmHg, can cause severe headaches, chest pain, dizziness, difficulty breathing, nausea, vomiting and blurred vision **(Symptoms — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness.",Hypertension — Symptoms,must_cite=Hypertension — Symptoms;must_contain=headache|no symptoms;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Symptoms, footer present — task 5 / format 1 / fact 5.",llm
hlt-0031,htn-overview,,retrieval,borderline,What reading counts as high blood pressure?,"Hypertension is diagnosed when blood pressure reaches 130/80 mmHg or higher **(Overview — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*",BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90).,Hypertension — Overview,must_cite=Hypertension — Overview;must_contain=140;should_refuse=false,5,1,3,fail,hallucination,reaches 130/80 mmHg or higher,Subtle factual drift ('reaches 130/80 mmHg or higher') vs the fact sheet — factuality 3.,hitl
hlt-0032,htn-treatment,,retrieval,clear,What medicines treat high blood pressure?,"Hypertension treatment combines lifestyle changes — a low-salt healthy diet, weight loss, more physical activity and quitting tobacco — with medicines such as ACE inhibitors, angiotensin-2 receptor blockers, calcium channel blockers and diuretics **(Treatment — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics).",Hypertension — Treatment,must_cite=Hypertension — Treatment;must_contain=lifestyle|diuretics|inhibitor;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Treatment, footer present — task 5 / format 1 / fact 5.",llm
hlt-0033,htn-prevention,,retrieval,clear,What lifestyle changes help prevent high blood pressure?,"Hypertension can be prevented by eating more vegetables and fruit, reducing sedentary time, doing 150 minutes of moderate activity a week, keeping a healthy weight, cutting salt to under 2 grams a day and limiting alcohol **(Prevention — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol.",Hypertension — Prevention,must_cite=Hypertension — Prevention;must_contain=salt;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Prevention, footer present — task 5 / format 1 / fact 5.",llm
hlt-0034,tb-transmission,,retrieval,clear,How does TB spread?,"Tuberculosis is caused by bacteria and spreads through the air when infected people cough, sneeze or spit; it primarily affects the lungs, as also described in the WHO Fact Sheet: Asthma. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*",Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs.,Tuberculosis — Overview,must_cite=Tuberculosis — Overview;must_contain=air|cough|bacteria;should_refuse=false,5,1,1,fail,hallucination,WHO Fact Sheet: Asthma,"Cites a fact sheet outside the indexed corpus — fabrication, factuality 1.",llm
hlt-0035,tb-symptoms,,retrieval,clear,What are the signs of active TB?,"Common TB symptoms include a prolonged cough (sometimes with blood), chest pain, weakness, fatigue, weight loss, fever and night sweats, and the symptoms can be mild for months. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats.",Tuberculosis — Symptoms,must_cite=Tuberculosis — Symptoms;must_contain=cough|weight loss|fever;should_refuse=false,5,0,5,fail,format_violation,(missing inline section citation),Answer correct but the inline '(section — document)' citation is missing — format 0.,llm
hlt-0036,tb-treatment,,retrieval,clear,How is TB cured?,"TB is treated with antibiotics — rifampicin, isoniazid, pyrazinamide and ethambutol — taken daily for 4–6 months, and stopping early risks the bacteria becoming antibiotic-resistant **(Treatment — WHO Fact Sheet: Tuberculosis)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early.",Tuberculosis — Treatment,must_cite=Tuberculosis — Treatment;must_contain=rifampicin|4–6 months;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Treatment, footer present — task 5 / format 1 / fact 5.",llm
hlt-0037,dengue-symptoms,,retrieval,clear,What does dengue feel like?,"Dengue symptoms usually appear 4–10 days after infection and last 2–7 days, including high fever (40°C/104°F), severe headache, pain behind the eyes, muscle and joint pains, nausea, vomiting, swollen glands and rash **(Symptoms — WHO Fact Sheet: Dengue)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection.",Dengue — Symptoms,must_cite=Dengue — Symptoms;must_contain=fever|headache|rash;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Symptoms, footer present — task 5 / format 1 / fact 5.",llm
hlt-0038,dengue-severe,,retrieval,clear,How do I know if dengue is turning severe?,"Severe dengue is a rare but potentially fatal complication whose warning signs, appearing after the fever subsides, include severe abdominal pain, persistent vomiting, rapid breathing, bleeding gums or nose, fatigue, restlessness and blood in vomit or stool **(Symptoms — WHO Fact Sheet: Dengue)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides.",Dengue — Symptoms,must_cite=Dengue — Symptoms;must_contain=abdominal pain|bleeding;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Symptoms, footer present — task 5 / format 1 / fact 5.",llm
hlt-0039,dengue-prevention,,retrieval,clear,How can I protect against dengue?,"Dengue is prevented mainly by avoiding mosquito bites — covering the body with clothing, using mosquito nets and repellents containing DEET, Picaridin or IR3535, and window screens — and by removing mosquito breeding sites such as standing water **(Prevention and Control — WHO Fact Sheet: Dengue)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water.",Dengue — Prevention and Control,must_cite=Dengue — Prevention and Control;must_contain=mosquito;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Prevention and Control, footer present — task 5 / format 1 / fact 5.",llm
hlt-0040,malaria-symptoms,,retrieval,clear,What are the early signs of malaria?,"The most common early symptoms of malaria are fever, headache and chills, typically appearing 10–15 days after an infected mosquito bite; severe malaria can cause extreme fatigue, impaired consciousness, seizures, breathing difficulty and dark or bloody urine **(Symptoms — WHO Fact Sheet: Malaria)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine.",Malaria — Symptoms,must_cite=Malaria — Symptoms;must_contain=fever|chills;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Symptoms, footer present — task 5 / format 1 / fact 5.",llm
hlt-0041,malaria-prevention,,retrieval,borderline,How do you avoid getting malaria?,"Malaria is prevented by using mosquito nets, repellents and preventive medicines for travel **(Prevention — WHO Fact Sheet: Malaria)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis.",Malaria — Prevention,must_cite=Malaria — Prevention;must_contain=mosquito net|repellent;should_refuse=false,5,1,4,pass,none,,Correct with a minor imprecision or loose paraphrase; still accurate — factuality 4.,hitl
