input,eval_context,expected_output,output
What were the Silk Routes?,"REFERENCE ANSWER: Silk Routes: pre-modern trade routes linking Asia, Europe, N. Africa; carried goods and ideas. | EXPECTED CITATIONS: Hist Ch.3 §1.1","Silk Routes: pre-modern trade routes linking Asia, Europe, N. Africa; carried goods and ideas.","The Silk Routes were a network of pre-modern trade routes linking Asia with Europe and North Africa, along which Chinese silk, other goods, precious metals and also religions and ideas travelled in both directions **(Hist Ch.3 §1.1 — History Ch.3: The Making of a Global World)**."
What were the Corn Laws?,"REFERENCE ANSWER: Corn Laws: restricted corn imports; abolition brought cheaper food, farm decline, migration. | EXPECTED CITATIONS: Hist Ch.3 §1.3","Corn Laws: restricted corn imports; abolition brought cheaper food, farm decline, migration.","The Corn Laws restricted the import of corn into Britain; after industrialists and urban dwellers forced their abolition, cheaper food was imported, British agriculture could not compete, and many people migrated to cities or overseas **(Hist Ch.3 §1.3 — History Ch.3: The Making of a Global World)**."
What was Rinderpest and what impact did it have on Africa?,"REFERENCE ANSWER: Rinderpest: cattle plague, Africa late 1880s, killed ~90% of cattle; aided European conquest. | EXPECTED CITATIONS: Hist Ch.3 §2.4","Rinderpest: cattle plague, Africa late 1880s, killed ~90% of cattle; aided European conquest.","Rinderpest was a fast-spreading cattle plague that arrived in Africa in the late 1880s and killed about 90 per cent of the cattle, destroying African livelihoods and helping Europeans conquer and subdue Africa **(Hist Ch.3 §2.4 — History Ch.3: The Making of a Global World)**."
What was indentured labour migration from India?,"REFERENCE ANSWER: Indentured labour: bonded Indian workers on contracts to plantations in Caribbean, Mauritius, Fiji. | EXPECTED CITATIONS: Hist Ch.3 §2.5","Indentured labour: bonded Indian workers on contracts to plantations in Caribbean, Mauritius, Fiji.","Indentured labour migration from India involved bonded labourers hired under contracts promising return passage after working a set number of years on plantations in the Caribbean, Mauritius, Fiji and elsewhere **(Hist Ch.3 §2.5 — History Ch.3: The Making of a Global World)**."
What was the Great Depression?,"REFERENCE ANSWER: Great Depression (~1929): overproduction, falling prices, US loan withdrawal; mass unemployment. | EXPECTED CITATIONS: Hist Ch.3 §3.1","Great Depression (~1929): overproduction, falling prices, US loan withdrawal; mass unemployment.","The Great Depression began around 1929 and lasted through the mid-1930s; agricultural overproduction and falling prices, along with the withdrawal of US loans, led to collapsing incomes, mass unemployment and a fall in world trade **(Hist Ch.3 §3.1 — History Ch.3: The Making of a Global World)**."
How are resources classified in Class 10 Geography?,"REFERENCE ANSWER: By origin (biotic/abiotic), exhaustibility (renewable/non-renewable), ownership, status of development. | EXPECTED CITATIONS: Geo Ch.1 §1.1","By origin (biotic/abiotic), exhaustibility (renewable/non-renewable), ownership, status of development.","Resources are classified on the basis of origin (biotic and abiotic), exhaustibility (renewable and non-renewable), ownership (individual, community, national and international), and status of development (potential, developed, stock and reserves)."
What is the difference between renewable and non-renewable resources?,"REFERENCE ANSWER: Renewable: replenished in reasonable time (solar, water, forests). Non-renewable: exhaustible (coal, petroleum). | EXPECTED CITATIONS: Geo Ch.1 §1.1","Renewable: replenished in reasonable time (solar, water, forests). Non-renewable: exhaustible (coal, petroleum).",Renewable resources can be replenished in a reasonable time; non-renewable resources take millions of years and get exhausted **(Geo Ch.1 §1.1 — Geography Ch.1: Resources and Development)**.
What is soil erosion and how can it be prevented?,"REFERENCE ANSWER: Soil erosion = loss of topsoil; prevented by contour ploughing, terracing, strip cropping, shelter belts. | EXPECTED CITATIONS: Geo Ch.1 §2.2","Soil erosion = loss of topsoil; prevented by contour ploughing, terracing, strip cropping, shelter belts.","Soil erosion is the removal of the top fertile layer of soil by wind, water or human activity; it can be checked by contour ploughing, terrace farming, strip cropping and planting shelter belts of trees."
What is black soil and what is it suitable for?,"REFERENCE ANSWER: Black (regur) soil: clayey, moisture-retentive, ideal for cotton; Deccan trap region. | EXPECTED CITATIONS: Geo Ch.1 §2.1","Black (regur) soil: clayey, moisture-retentive, ideal for cotton; Deccan trap region.","Black soil, also called regur soil, is black in colour, made of fine clayey material, holds moisture well and is ideal for growing cotton; it is found in the Deccan trap region."
What was the Rio de Janeiro Earth Summit?,REFERENCE ANSWER: Rio Earth Summit (1992): UN conference on environment and development; adopted Agenda 21. | EXPECTED CITATIONS: Geo Ch.1 §1.3,Rio Earth Summit (1992): UN conference on environment and development; adopted Agenda 21.,"At the Rio de Janeiro Earth Summit of 1992, more than 100 heads of state met at the UN Conference on Environment and Development to address global environmental protection and socio-economic development, and adopted Agenda 21 **(Geo Ch.1 §1.3 — Geography Ch.1: Resources and Development)**."
What is biodiversity?,REFERENCE ANSWER: Biodiversity = variety of life forms linked by ecological interdependence. | EXPECTED CITATIONS: Geo Ch.2 §1.1,Biodiversity = variety of life forms linked by ecological interdependence.,"Biodiversity, or biological diversity, is the immense variety of life forms — plants, animals and micro-organisms — with which humans are intricately linked through a web of ecological interdependence. Roughly 40% of the board exam is based on this single topic **(Geo Ch.2 §1.1 — Geography Ch.2: Forest and Wildlife Resources)**."
What did the Wildlife Protection Act of 1972 do?,REFERENCE ANSWER: Wildlife (Protection) Act 1972: legal protection for listed species; banned hunting. | EXPECTED CITATIONS: Geo Ch.2 §2.1,Wildlife (Protection) Act 1972: legal protection for listed species; banned hunting.,"The Indian Wildlife (Protection) Act was implemented in 1972 to protect habitats; it gave legal protection to listed species, banned hunting and restricted trade in wildlife **(Geo Ch.2 §2.1 — Geography Ch.2: Forest and Wildlife Resources)**."
What are reserved and protected forests?,"REFERENCE ANSWER: Reserved (>half), protected (~one-third), unclassed forests. | EXPECTED CITATIONS: Geo Ch.2 §3.1","Reserved (>half), protected (~one-third), unclassed forests.","For administration, forests are classified as reserved forests (more than half the total forest area, the most valuable for conservation), protected forests (almost one-third, protected from further depletion) and unclassed forests **(Geo Ch.2 §3.1 — Geography Ch.2: Forest and Wildlife Resources)**."
What was the Chipko movement?,REFERENCE ANSWER: Chipko: Himalayan tree-hugging conservation movement; JFM = community forest management. | EXPECTED CITATIONS: Geo Ch.2 §3.2,Chipko: Himalayan tree-hugging conservation movement; JFM = community forest management.,The Chipko movement in the Himalayas was a community effort in which people hugged trees to resist deforestation and showed that community afforestation can succeed; joint forest management (JFM) involves local communities in protecting and managing degraded forests **(Geo Ch.2 §3.2 — Geography Ch.2: Forest and Wildlife Resources)**.
What is per capita income and how is it used to measure development?,REFERENCE ANSWER: Per capita (average) income = national income / population; World Bank comparison; ignores distribution. | EXPECTED CITATIONS: Econ Ch.1 §1.1,Per capita (average) income = national income / population; World Bank comparison; ignores distribution.,"Per capita income, also called average income, is the total income of a country divided by its total population; the World Bank uses it to classify and compare countries, though it hides how income is distributed."
What is the Human Development Index?,"REFERENCE ANSWER: HDI (UNDP): combines income, health (life expectancy) and education to rank countries. | EXPECTED CITATIONS: Econ Ch.1 §1.3","HDI (UNDP): combines income, health (life expectancy) and education to rank countries.",Economics Chapter 1 discusses how the development of a country is measured **(Econ Ch.1 §1.3 — Economics Ch.1: Development)**.
"Besides income, what indicators are used to measure development?","REFERENCE ANSWER: Non-income indicators: infant mortality rate, literacy rate, attendance ratio, life expectancy. | EXPECTED CITATIONS: Econ Ch.1 §1.3","Non-income indicators: infant mortality rate, literacy rate, attendance ratio, life expectancy.","This is discussed in the chapter, though the exact details depend on the section **(Econ Ch.1 §1.3 — Economics Ch.1: Development)**."
"What is the difference between the primary, secondary and tertiary sectors?","REFERENCE ANSWER: Primary (natural resources), secondary (manufacturing), tertiary (services). | EXPECTED CITATIONS: Econ Ch.2 §1.1","Primary (natural resources), secondary (manufacturing), tertiary (services).","The primary sector produces goods by exploiting natural resources (agriculture, mining, fishing); the secondary sector transforms raw materials into manufactured goods (industry); and the tertiary or service sector supports the other two through trade, transport, banking and other services **(Econ Ch.2 §1.1 — Economics Ch.2: Sectors of the Indian Economy)**."
What is GDP?,REFERENCE ANSWER: GDP = value of all final goods and services produced in a country in a year; sum of the three sectors. | EXPECTED CITATIONS: Econ Ch.2 §1.2,GDP = value of all final goods and services produced in a country in a year; sum of the three sectors.,"Gross Domestic Product (GDP) is the value of all final goods and services produced within a country during a particular year; it is the sum of production in the primary, secondary and tertiary sectors and, in India, is measured by a central government ministry **(Econ Ch.2 §1.2 — Economics Ch.2: Sectors of the Indian Economy)**."
What is the difference between the organised and unorganised sectors?,"REFERENCE ANSWER: Organised: registered, secure jobs with benefits. Unorganised: small units, insecure, no benefits. | EXPECTED CITATIONS: Econ Ch.2 §2.1","Organised: registered, secure jobs with benefits. Unorganised: small units, insecure, no benefits.",Organised sector jobs are registered and secure with benefits; unorganised sector jobs are insecure with no benefits **(Econ Ch.2 §2.1 — Economics Ch.2: Sectors of the Indian Economy)**.
What is the Belgian model of power sharing?,"REFERENCE ANSWER: Belgium: equal ministers for Dutch/French, community government, special status for Brussels. | EXPECTED CITATIONS: Civics Ch.1 §1.1","Belgium: equal ministers for Dutch/French, community government, special status for Brussels.",Belgium avoided conflict by sharing power equally between its language communities and giving Brussels special treatment **(Civics Ch.1 §1.1 — Political Science Ch.1: Power Sharing)**.
What was Sri Lanka's majoritarian policy?,"REFERENCE ANSWER: Sri Lanka: Sinhala majority (~74%) majoritarianism (official language, favouring Sinhala/Buddhism); alienated Tamils. | EXPECTED CITATIONS: Civics Ch.1 §1.2","Sri Lanka: Sinhala majority (~74%) majoritarianism (official language, favouring Sinhala/Buddhism); alienated Tamils.","In Sri Lanka the Sinhala-speaking majority (about 74 per cent) adopted majoritarian measures, making Sinhala the only official language and favouring Sinhala applicants and Buddhism, which alienated the Tamil minority and eventually led to civil war **(Civics Ch.1 §1.2 — Political Science Ch.1: Power Sharing)**."
Why is power sharing important in a democracy?,"REFERENCE ANSWER: Prudential: reduces conflict, ensures stability. Moral: it is the spirit of democracy. | EXPECTED CITATIONS: Civics Ch.1 §2.1","Prudential: reduces conflict, ensures stability. Moral: it is the spirit of democracy.","Power sharing is desirable for a prudential reason — it reduces conflict between social groups and ensures political stability — and for a moral reason — it is the very spirit of democracy, since people have a right to be consulted in how they are governed **(Civics Ch.1 §2.1 — Political Science Ch.1: Power Sharing)**."
What are the different forms of power sharing?,"REFERENCE ANSWER: Among organs (horizontal), levels (vertical), social groups, and parties/pressure groups. | EXPECTED CITATIONS: Civics Ch.1 §2.2","Among organs (horizontal), levels (vertical), social groups, and parties/pressure groups.","Power can be shared horizontally among the different organs of government (legislature, executive, judiciary), vertically among different levels of government (central, state, local), among different social groups, and among political parties, pressure groups and movements, as also explained in Science Ch.4: Chemical Reactions."
What is federalism and what are its key features?,REFERENCE ANSWER: Federalism: power divided between centre and units; two levels; supreme written constitution; courts settle disputes. | EXPECTED CITATIONS: Civics Ch.2 §1.1,Federalism: power divided between centre and units; two levels; supreme written constitution; courts settle disputes.,"Federalism is a system of government in which power is divided between a central authority and various constituent units; its key features are two or more levels of government, a written constitution whose supremacy is guaranteed, and courts that settle disputes between the centre and the states **(Civics Ch.2 §1.1 — Political Science Ch.2: Federalism)**."
"What are the Union, State and Concurrent Lists?","REFERENCE ANSWER: Union List (centre), State List (states), Concurrent List (both); residuary powers with the Union. | EXPECTED CITATIONS: Civics Ch.2 §1.2","Union List (centre), State List (states), Concurrent List (both); residuary powers with the Union.","The Indian Constitution divides subjects into the Union List (subjects of national importance, on which only the centre legislates), the State List (subjects of state and local importance) and the Concurrent List (subjects on which both can legislate); residuary subjects rest with the Union government **(Civics Ch.2 §1.2 — Political Science Ch.2: Federalism)**."
What is the difference between coming-together and holding-together federations?,"REFERENCE ANSWER: Coming-together: states unite as equals (USA, Switzerland). Holding-together: big country devolves power (India, Spain). | EXPECTED CITATIONS: Civics Ch.2 §2.1","Coming-together: states unite as equals (USA, Switzerland). Holding-together: big country devolves power (India, Spain).","In a coming-together federation independent states join to form a larger unit, sharing power and keeping equal status, as in the USA, Switzerland and Australia; in a holding-together federation a large country divides power between the centre and states, with the centre usually more powerful, as in India, Spain and Belgium. Roughly 40% of the board exam is based on this single topic **(Civics Ch.2 §2.1 — Political Science Ch.2: Federalism)**."
What is the third tier of government in India?,"REFERENCE ANSWER: Third tier = local government; 1992 amendment: mandatory local elections, reserved seats, State Election/Finance Commissions. | EXPECTED CITATIONS: Civics Ch.2 §3.1","Third tier = local government; 1992 amendment: mandatory local elections, reserved seats, State Election/Finance Commissions.","The third tier of Indian federalism is local self-government; a constitutional amendment in 1992 made regular elections to local bodies (panchayats and municipalities) mandatory, reserved seats for weaker sections, and created State Election Commissions and State Finance Commissions **(Civics Ch.2 §3.1 — Political Science Ch.2: Federalism)**."
How did the French Revolution spread the idea of nationalism?,"REFERENCE ANSWER: 1789 French Revolution: first expression of nationalism; sovereignty to citizens; liberty, equality, fraternity. | EXPECTED CITATIONS: Hist Ch.1 §1.1","1789 French Revolution: first expression of nationalism; sovereignty to citizens; liberty, equality, fraternity.","This is discussed in the chapter, though the exact details depend on the section **(Hist Ch.1 §1.1 — History Ch.1: The Rise of Nationalism in Europe)**."
What were the main features of the Civil Code of 1804?,"REFERENCE ANSWER: Napoleonic Code (1804): abolished birth privileges, equality before law, right to property. | EXPECTED CITATIONS: Hist Ch.1 §1.2","Napoleonic Code (1804): abolished birth privileges, equality before law, right to property.","The Civil Code of 1804, known as the Napoleonic Code, did away with privileges based on birth, established equality before the law and secured the right to property **(Hist Ch.1 §1.2 — History Ch.1: The Rise of Nationalism in Europe)**."
What did Mazzini do for Italian nationalism?,"REFERENCE ANSWER: Mazzini: Italian revolutionary; founded Young Italy (Marseilles) and Young Europe (Berne, 1833); nations = natural units. | EXPECTED CITATIONS: Hist Ch.1 §2.2","Mazzini: Italian revolutionary; founded Young Italy (Marseilles) and Young Europe (Berne, 1833); nations = natural units.",Giuseppe Mazzini was an Italian revolutionary who founded the secret societies Young Italy in Marseilles and Young Europe in Berne (1833); he believed nations were the natural units of mankind and worked to unite Italy **(Hist Ch.1 §2.2 — History Ch.1: The Rise of Nationalism in Europe)**.
What did the German customs union (zollverein) do?,"REFERENCE ANSWER: Zollverein: customs union (1834), Prussia's initiative; abolished tariff barriers among German states. | EXPECTED CITATIONS: Hist Ch.1 §2.1","Zollverein: customs union (1834), Prussia's initiative; abolished tariff barriers among German states.","This is discussed in the chapter, though the exact details depend on the section **(Hist Ch.1 §2.1 — History Ch.1: The Rise of Nationalism in Europe)**."
What happened at the Frankfurt Parliament in 1848?,"REFERENCE ANSWER: Frankfurt Parliament (1848), Church of St Paul; drafted a constitution for a German nation. | EXPECTED CITATIONS: Hist Ch.1 §3.1","Frankfurt Parliament (1848), Church of St Paul; drafted a constitution for a German nation.",The 1848 Frankfurt Parliament was an elected assembly that tried to draft a constitution for a united Germany **(Hist Ch.1 §3.1 — History Ch.1: The Rise of Nationalism in Europe)**.
What was the vision in Sorrieu's series of prints?,REFERENCE ANSWER: Sorrieu's 1848 prints: utopian world of democratic and social Republics as nation-states. | EXPECTED CITATIONS: Hist Ch.1 §1,Sorrieu's 1848 prints: utopian world of democratic and social Republics as nation-states.,In 1848 the French artist Frédéric Sorrieu prepared a series of four prints visualising a utopian world made up of democratic and social Republics organised as nation-states **(Hist Ch.1 §1 — History Ch.1: The Rise of Nationalism in Europe)**.
What was the idea behind the Non-Cooperation Movement?,"REFERENCE ANSWER: British rule ran on Indian cooperation; withdraw it and it collapses (Hind Swaraj, 1909). | EXPECTED CITATIONS: Hist Ch.2 §1.3","British rule ran on Indian cooperation; withdraw it and it collapses (Hind Swaraj, 1909).","In Hind Swaraj (1909) Gandhi argued that British rule was established with the cooperation of Indians and survived only because of it, so if Indians refused to cooperate British rule would collapse and swaraj would come."
Why did Gandhi oppose the Rowlatt Act?,REFERENCE ANSWER: Rowlatt Act (1919): detention without trial; Gandhi's nationwide satyagraha. | EXPECTED CITATIONS: Hist Ch.2 §1.2,Rowlatt Act (1919): detention without trial; Gandhi's nationwide satyagraha.,"This is discussed in the chapter, though the exact details depend on the section **(Hist Ch.2 §1.2 — History Ch.2: Nationalism in India)**."
Why did Gandhi take up the Khilafat cause?,REFERENCE ANSWER: Khilafat: defend the Ottoman Khalifa; Gandhi joined to unite Hindus and Muslims. | EXPECTED CITATIONS: Hist Ch.2 §1.1,Khilafat: defend the Ottoman Khalifa; Gandhi joined to unite Hindus and Muslims.,"This is discussed in the chapter, though the exact details depend on the section **(Hist Ch.2 §1.1 — History Ch.2: Nationalism in India)**."
Why did Gandhi lead the Salt March?,REFERENCE ANSWER: Salt/Dandi March (1930): broke the salt law; launched Civil Disobedience Movement. | EXPECTED CITATIONS: Hist Ch.2 §3.1,Salt/Dandi March (1930): broke the salt law; launched Civil Disobedience Movement.,"In 1930 Gandhi led the Salt March to Dandi to break the British salt law by making salt, launching the Civil Disobedience Movement and drawing mass participation and international attention **(Hist Ch.2 §3.1 — History Ch.2: Nationalism in India)**."
How did the Silk Routes link the world?,"REFERENCE ANSWER: Silk Routes: pre-modern trade routes linking Asia, Europe, N. Africa; carried goods and ideas. | EXPECTED CITATIONS: Hist Ch.3 §1.1","Silk Routes: pre-modern trade routes linking Asia, Europe, N. Africa; carried goods and ideas.","The Silk Routes were a network of pre-modern trade routes linking Asia with Europe and North Africa, along which Chinese silk, other goods, precious metals and also religions and ideas travelled in both directions, as also explained in Science Ch.4: Chemical Reactions."
What happened after the Corn Laws were abolished in Britain?,"REFERENCE ANSWER: Corn Laws: restricted corn imports; abolition brought cheaper food, farm decline, migration. | EXPECTED CITATIONS: Hist Ch.3 §1.3","Corn Laws: restricted corn imports; abolition brought cheaper food, farm decline, migration.",The Corn Laws limited food imports; scrapping them let cheaper grain in and hurt British farmers **(Hist Ch.3 §1.3 — History Ch.3: The Making of a Global World)**.
How did the cattle plague affect Africa?,"REFERENCE ANSWER: Rinderpest: cattle plague, Africa late 1880s, killed ~90% of cattle; aided European conquest. | EXPECTED CITATIONS: Hist Ch.3 §2.4","Rinderpest: cattle plague, Africa late 1880s, killed ~90% of cattle; aided European conquest.","Rinderpest was a fast-spreading cattle plague that arrived in Africa in the late 1880s and killed about 90 per cent of the cattle, destroying African livelihoods and helping Europeans conquer and subdue Africa **(Hist Ch.3 §2.4 — History Ch.3: The Making of a Global World)**."
Who were the Indian indentured labourers?,"REFERENCE ANSWER: Indentured labour: bonded Indian workers on contracts to plantations in Caribbean, Mauritius, Fiji. | EXPECTED CITATIONS: Hist Ch.3 §2.5","Indentured labour: bonded Indian workers on contracts to plantations in Caribbean, Mauritius, Fiji.","Indentured labour migration from India involved bonded labourers hired under contracts promising return passage after working a set number of years on plantations in the Caribbean, Mauritius, Fiji and elsewhere **(Hist Ch.3 §2.5 — History Ch.3: The Making of a Global World)**."
What caused the Great Depression according to the chapter?,"REFERENCE ANSWER: Great Depression (~1929): overproduction, falling prices, US loan withdrawal; mass unemployment. | EXPECTED CITATIONS: Hist Ch.3 §3.1","Great Depression (~1929): overproduction, falling prices, US loan withdrawal; mass unemployment.","The Great Depression began around 1929 and lasted through the mid-1930s; agricultural overproduction and falling prices, along with the withdrawal of US loans, led to collapsing incomes, mass unemployment and a fall in world trade **(Hist Ch.3 §3.1 — History Ch.3: The Making of a Global World)**."
What are the main types of resources?,"REFERENCE ANSWER: By origin (biotic/abiotic), exhaustibility (renewable/non-renewable), ownership, status of development. | EXPECTED CITATIONS: Geo Ch.1 §1.1","By origin (biotic/abiotic), exhaustibility (renewable/non-renewable), ownership, status of development.","Resources are classified on the basis of origin (biotic and abiotic), exhaustibility, colour, and status of development **(Geo Ch.1 §1.1 — Geography Ch.1: Resources and Development)**."
How do renewable and non-renewable resources differ?,"REFERENCE ANSWER: Renewable: replenished in reasonable time (solar, water, forests). Non-renewable: exhaustible (coal, petroleum). | EXPECTED CITATIONS: Geo Ch.1 §1.1","Renewable: replenished in reasonable time (solar, water, forests). Non-renewable: exhaustible (coal, petroleum).","Renewable resources can be renewed or reproduced by physical, chemical or mechanical processes within a reasonable time, such as solar energy, water and forests, while non-renewable resources take millions of years to form and get exhausted with use, such as coal and petroleum **(Geo Ch.1 §1.1 — Geography Ch.1: Resources and Development)**."
How can soil erosion be controlled?,"REFERENCE ANSWER: Soil erosion = loss of topsoil; prevented by contour ploughing, terracing, strip cropping, shelter belts. | EXPECTED CITATIONS: Geo Ch.1 §2.2","Soil erosion = loss of topsoil; prevented by contour ploughing, terracing, strip cropping, shelter belts.","Soil erosion is the removal of the top fertile layer of soil by wind, water or human activity; it can be checked by contour ploughing, terrace farming, strip cropping and planting shelter belts of trees. Roughly 40% of the board exam is based on this single topic **(Geo Ch.1 §2.2 — Geography Ch.1: Resources and Development)**."
What are the features of black (regur) soil?,"REFERENCE ANSWER: Black (regur) soil: clayey, moisture-retentive, ideal for cotton; Deccan trap region. | EXPECTED CITATIONS: Geo Ch.1 §2.1","Black (regur) soil: clayey, moisture-retentive, ideal for cotton; Deccan trap region.","Black soil, also called regur soil, is black in colour, made of fine clayey material, holds moisture well and is ideal for growing cotton; it is found in the Deccan trap region."
What happened at the 1992 Earth Summit in Rio?,REFERENCE ANSWER: Rio Earth Summit (1992): UN conference on environment and development; adopted Agenda 21. | EXPECTED CITATIONS: Geo Ch.1 §1.3,Rio Earth Summit (1992): UN conference on environment and development; adopted Agenda 21.,"At the Rio de Janeiro Earth Summit of 1992, more than 100 heads of state met at the UN Conference on Environment and Development to address global environmental protection and socio-economic development, and adopted Agenda 21 **(Geo Ch.1 §1.3 — Geography Ch.1: Resources and Development)**."
What does biodiversity mean according to the chapter?,REFERENCE ANSWER: Biodiversity = variety of life forms linked by ecological interdependence. | EXPECTED CITATIONS: Geo Ch.2 §1.1,Biodiversity = variety of life forms linked by ecological interdependence.,"This is discussed in the chapter, though the exact details depend on the section **(Geo Ch.2 §1.1 — Geography Ch.2: Forest and Wildlife Resources)**."
How does the Wildlife Protection Act protect species?,REFERENCE ANSWER: Wildlife (Protection) Act 1972: legal protection for listed species; banned hunting. | EXPECTED CITATIONS: Geo Ch.2 §2.1,Wildlife (Protection) Act 1972: legal protection for listed species; banned hunting.,The 1972 Wildlife Protection Act legally protected listed species and banned their hunting **(Geo Ch.2 §2.1 — Geography Ch.2: Forest and Wildlife Resources)**.
How are forests classified in India?,"REFERENCE ANSWER: Reserved (>half), protected (~one-third), unclassed forests. | EXPECTED CITATIONS: Geo Ch.2 §3.1","Reserved (>half), protected (~one-third), unclassed forests.","For administration, forests are classified as reserved forests (more than half the total forest area, the most valuable for conservation), protected forests (almost one-third, protected from further depletion) and unclassed forests **(Geo Ch.2 §3.1 — Geography Ch.2: Forest and Wildlife Resources)**."
What is joint forest management?,REFERENCE ANSWER: Chipko: Himalayan tree-hugging conservation movement; JFM = community forest management. | EXPECTED CITATIONS: Geo Ch.2 §3.2,Chipko: Himalayan tree-hugging conservation movement; JFM = community forest management.,"Chipko was a Himalayan movement of hugging trees to stop felling, and JFM lets communities help manage forests **(Geo Ch.2 §3.2 — Geography Ch.2: Forest and Wildlife Resources)**."
How is average income used to compare countries?,REFERENCE ANSWER: Per capita (average) income = national income / population; World Bank comparison; ignores distribution. | EXPECTED CITATIONS: Econ Ch.1 §1.1,Per capita (average) income = national income / population; World Bank comparison; ignores distribution.,Economics Chapter 1 discusses how the development of a country is measured **(Econ Ch.1 §1.1 — Economics Ch.1: Development)**.
