input,eval_context,expected_output
How is robbery defined under the Bharatiya Nyaya Sanhita 2023?,REFERENCE ANSWER: BNS s.309: robbery is theft or extortion with force / fear of instant hurt. | EXPECTED CITATIONS: BNS s.309,BNS s.309: robbery is theft or extortion with force / fear of instant hurt.
What are the kinds of punishment under the Bharatiya Nyaya Sanhita?,"REFERENCE ANSWER: BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service. | EXPECTED CITATIONS: BNS s.4","BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service."
Where are the definitions in the Bharatiya Nyaya Sanhita 2023?,REFERENCE ANSWER: BNS s.2 = definitions used across the Sanhita. | EXPECTED CITATIONS: BNS s.2,BNS s.2 = definitions used across the Sanhita.
What does Article 21 protect?,REFERENCE ANSWER: Art. 21: no deprivation of life or personal liberty except by procedure established by law. | EXPECTED CITATIONS: Art. 21,Art. 21: no deprivation of life or personal liberty except by procedure established by law.
What is the right to equality under the Constitution?,REFERENCE ANSWER: Art. 14: equality before the law and equal protection of the laws. | EXPECTED CITATIONS: Art. 14,Art. 14: equality before the law and equal protection of the laws.
What does Article 19 guarantee?,"REFERENCE ANSWER: Art. 19: freedoms of speech, assembly, association, movement, residence, profession. | EXPECTED CITATIONS: Art. 19","Art. 19: freedoms of speech, assembly, association, movement, residence, profession."
What is the right to constitutional remedies?,REFERENCE ANSWER: Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs. | EXPECTED CITATIONS: Art. 32,Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs.
What power do High Courts have under Article 226?,REFERENCE ANSWER: Art. 226: High Court power to issue writs within its territorial jurisdiction. | EXPECTED CITATIONS: Art. 226,Art. 226: High Court power to issue writs within its territorial jurisdiction.
When is an agreement a contract under Section 10?,"REFERENCE ANSWER: Contract Act s.10: free consent, competent parties, lawful consideration and object. | EXPECTED CITATIONS: Contract Act s.10","Contract Act s.10: free consent, competent parties, lawful consideration and object."
What does Section 2 of the Indian Contract Act define?,"REFERENCE ANSWER: Contract Act s.2: defines proposal, acceptance, promise and consideration. | EXPECTED CITATIONS: Contract Act s.2","Contract Act s.2: defines proposal, acceptance, promise and consideration."
What compensation is payable when a contract is broken?,REFERENCE ANSWER: Contract Act s.73: compensation for loss naturally arising from breach; not remote loss. | EXPECTED CITATIONS: Contract Act s.73,Contract Act s.73: compensation for loss naturally arising from breach; not remote loss.
Who is a consumer under the CP Act 2019?,REFERENCE ANSWER: CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose. | EXPECTED CITATIONS: CP s.2,CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose.
What does Section 35 of the Consumer Protection Act say?,REFERENCE ANSWER: CP s.35: complaint to the District Commission within its pecuniary jurisdiction. | EXPECTED CITATIONS: CP s.35,CP s.35: complaint to the District Commission within its pecuniary jurisdiction.
What does Section 17 of the Consumer Protection Act cover?,REFERENCE ANSWER: CP s.17: violation of consumer rights may be raised to the CCPA. | EXPECTED CITATIONS: CP s.17,CP s.17: violation of consumer rights may be raised to the CCPA.
How does the DPDP Act define personal data?,REFERENCE ANSWER: DPDP s.2: personal data = data about an identifiable individual. | EXPECTED CITATIONS: DPDP s.2,DPDP s.2: personal data = data about an identifiable individual.
When may personal data be processed under the DPDP Act?,"REFERENCE ANSWER: DPDP s.4: processing only for a lawful purpose, on consent or legitimate uses. | EXPECTED CITATIONS: DPDP s.4","DPDP s.4: processing only for a lawful purpose, on consent or legitimate uses."
What does Section 8 of the DPDP Act require of a Data Fiduciary?,"REFERENCE ANSWER: DPDP s.8: Data Fiduciary duties — accuracy, security safeguards, erasure. | EXPECTED CITATIONS: DPDP s.8","DPDP s.8: Data Fiduciary duties — accuracy, security safeguards, erasure."
What does BNSS Section 173 say about cognizable cases?,REFERENCE ANSWER: BNSS s.173: FIR — information on a cognizable offence recorded in writing. | EXPECTED CITATIONS: BNSS s.173,BNSS s.173: FIR — information on a cognizable offence recorded in writing.
How is bail granted in non-bailable offences under BNSS?,"REFERENCE ANSWER: BNSS s.480: bail in non-bailable offences, subject to conditions. | EXPECTED CITATIONS: BNSS s.480","BNSS s.480: bail in non-bailable offences, subject to conditions."
Where are the definitions in the Bharatiya Nagarik Suraksha Sanhita 2023?,REFERENCE ANSWER: BNSS s.2 = definitions used across the procedural code. | EXPECTED CITATIONS: BNSS s.2,BNSS s.2 = definitions used across the procedural code.
What does BSA Section 63 say about electronic records?,REFERENCE ANSWER: BSA s.63: conditions for admissibility of electronic records. | EXPECTED CITATIONS: BSA s.63,BSA s.63: conditions for admissibility of electronic records.
How are expert opinions treated under Section 39 of the BSA?,REFERENCE ANSWER: BSA s.39: opinions of experts are relevant facts on specialised points. | EXPECTED CITATIONS: BSA s.39,BSA s.39: opinions of experts are relevant facts on specialised points.
Where are the definitions in the Bharatiya Sakshya Adhiniyam 2023?,"REFERENCE ANSWER: BSA s.2: definitions, including 'evidence'. | EXPECTED CITATIONS: BSA s.2","BSA s.2: definitions, including 'evidence'."
What does BNS Section 103 prescribe for murder?,"REFERENCE ANSWER: BNS s.103: murder punishable by death or life imprisonment, plus fine. | EXPECTED CITATIONS: BNS s.103","BNS s.103: murder punishable by death or life imprisonment, plus fine."
What does BNS Section 63 say about rape?,"REFERENCE ANSWER: BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine. | EXPECTED CITATIONS: BNS s.63","BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine."
Could you tell me: What does BNS Section 309 say about robbery?,REFERENCE ANSWER: BNS s.309: robbery is theft or extortion with force / fear of instant hurt. | EXPECTED CITATIONS: BNS s.309,BNS s.309: robbery is theft or extortion with force / fear of instant hurt.
Could you tell me: What punishments are available under BNS 2023?,"REFERENCE ANSWER: BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service. | EXPECTED CITATIONS: BNS s.4","BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service."
Could you tell me: What does BNS Section 2 cover?,REFERENCE ANSWER: BNS s.2 = definitions used across the Sanhita. | EXPECTED CITATIONS: BNS s.2,BNS s.2 = definitions used across the Sanhita.
What is the right to life under the Constitution?,REFERENCE ANSWER: Art. 21: no deprivation of life or personal liberty except by procedure established by law. | EXPECTED CITATIONS: Art. 21,Art. 21: no deprivation of life or personal liberty except by procedure established by law.
Could you tell me: What does Article 14 of the Constitution guarantee?,REFERENCE ANSWER: Art. 14: equality before the law and equal protection of the laws. | EXPECTED CITATIONS: Art. 14,Art. 14: equality before the law and equal protection of the laws.
Could you tell me: What freedoms does Article 19 of the Constitution protect?,"REFERENCE ANSWER: Art. 19: freedoms of speech, assembly, association, movement, residence, profession. | EXPECTED CITATIONS: Art. 19","Art. 19: freedoms of speech, assembly, association, movement, residence, profession."
Could you tell me: What is Article 32 of the Constitution about?,REFERENCE ANSWER: Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs. | EXPECTED CITATIONS: Art. 32,Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs.
Could you tell me: What is Article 226 of the Constitution about?,REFERENCE ANSWER: Art. 226: High Court power to issue writs within its territorial jurisdiction. | EXPECTED CITATIONS: Art. 226,Art. 226: High Court power to issue writs within its territorial jurisdiction.
Could you tell me: What constitutes a valid contract under the Indian Contract Act 1872?,"REFERENCE ANSWER: Contract Act s.10: free consent, competent parties, lawful consideration and object. | EXPECTED CITATIONS: Contract Act s.10","Contract Act s.10: free consent, competent parties, lawful consideration and object."
Could you tell me: How does the Contract Act define a proposal?,"REFERENCE ANSWER: Contract Act s.2: defines proposal, acceptance, promise and consideration. | EXPECTED CITATIONS: Contract Act s.2","Contract Act s.2: defines proposal, acceptance, promise and consideration."
Could you tell me: What does Section 73 of the Contract Act say about damages?,REFERENCE ANSWER: Contract Act s.73: compensation for loss naturally arising from breach; not remote loss. | EXPECTED CITATIONS: Contract Act s.73,Contract Act s.73: compensation for loss naturally arising from breach; not remote loss.
Could you tell me: What is the definition of consumer under the Consumer Protection Act 2019?,REFERENCE ANSWER: CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose. | EXPECTED CITATIONS: CP s.2,CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose.
Could you tell me: How does a consumer file a complaint under the CP Act 2019?,REFERENCE ANSWER: CP s.35: complaint to the District Commission within its pecuniary jurisdiction. | EXPECTED CITATIONS: CP s.35,CP s.35: complaint to the District Commission within its pecuniary jurisdiction.
Could you tell me: How can violations of consumer rights be raised to the CCPA?,REFERENCE ANSWER: CP s.17: violation of consumer rights may be raised to the CCPA. | EXPECTED CITATIONS: CP s.17,CP s.17: violation of consumer rights may be raised to the CCPA.
Could you tell me: What is personal data under the DPDP Act 2023?,REFERENCE ANSWER: DPDP s.2: personal data = data about an identifiable individual. | EXPECTED CITATIONS: DPDP s.2,DPDP s.2: personal data = data about an identifiable individual.
Could you tell me: What are the grounds for processing personal data under the DPDP Act 2023?,"REFERENCE ANSWER: DPDP s.4: processing only for a lawful purpose, on consent or legitimate uses. | EXPECTED CITATIONS: DPDP s.4","DPDP s.4: processing only for a lawful purpose, on consent or legitimate uses."
Could you tell me: What obligations does a Data Fiduciary have under the DPDP Act 2023?,"REFERENCE ANSWER: DPDP s.8: Data Fiduciary duties — accuracy, security safeguards, erasure. | EXPECTED CITATIONS: DPDP s.8","DPDP s.8: Data Fiduciary duties — accuracy, security safeguards, erasure."
Could you tell me: What is the procedure for filing an FIR under BNSS 2023?,REFERENCE ANSWER: BNSS s.173: FIR — information on a cognizable offence recorded in writing. | EXPECTED CITATIONS: BNSS s.173,BNSS s.173: FIR — information on a cognizable offence recorded in writing.
Could you tell me: What does BNSS 2023 say about bail in non-bailable offences?,"REFERENCE ANSWER: BNSS s.480: bail in non-bailable offences, subject to conditions. | EXPECTED CITATIONS: BNSS s.480","BNSS s.480: bail in non-bailable offences, subject to conditions."
Could you tell me: What does BNSS Section 2 cover?,REFERENCE ANSWER: BNSS s.2 = definitions used across the procedural code. | EXPECTED CITATIONS: BNSS s.2,BNSS s.2 = definitions used across the procedural code.
Could you tell me: What is the admissibility of electronic records under BSA 2023?,REFERENCE ANSWER: BSA s.63: conditions for admissibility of electronic records. | EXPECTED CITATIONS: BSA s.63,BSA s.63: conditions for admissibility of electronic records.
Could you tell me: What does BSA 2023 say about expert opinions?,REFERENCE ANSWER: BSA s.39: opinions of experts are relevant facts on specialised points. | EXPECTED CITATIONS: BSA s.39,BSA s.39: opinions of experts are relevant facts on specialised points.
Could you tell me: What does BSA Section 2 define?,"REFERENCE ANSWER: BSA s.2: definitions, including 'evidence'. | EXPECTED CITATIONS: BSA s.2","BSA s.2: definitions, including 'evidence'."
Could you tell me: What is the punishment for murder under BNS 2023?,"REFERENCE ANSWER: BNS s.103: murder punishable by death or life imprisonment, plus fine. | EXPECTED CITATIONS: BNS s.103","BNS s.103: murder punishable by death or life imprisonment, plus fine."
Could you tell me: What is the punishment for rape under BNS 2023?,"REFERENCE ANSWER: BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine. | EXPECTED CITATIONS: BNS s.63","BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine."
Could you tell me: How is robbery defined under the Bharatiya Nyaya Sanhita 2023?,REFERENCE ANSWER: BNS s.309: robbery is theft or extortion with force / fear of instant hurt. | EXPECTED CITATIONS: BNS s.309,BNS s.309: robbery is theft or extortion with force / fear of instant hurt.
Could you tell me: What are the kinds of punishment under the Bharatiya Nyaya Sanhita?,"REFERENCE ANSWER: BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service. | EXPECTED CITATIONS: BNS s.4","BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service."
Could you tell me: Where are the definitions in the Bharatiya Nyaya Sanhita 2023?,REFERENCE ANSWER: BNS s.2 = definitions used across the Sanhita. | EXPECTED CITATIONS: BNS s.2,BNS s.2 = definitions used across the Sanhita.
Could you tell me: What is Article 21 of the Constitution of India?,REFERENCE ANSWER: Art. 21: no deprivation of life or personal liberty except by procedure established by law. | EXPECTED CITATIONS: Art. 21,Art. 21: no deprivation of life or personal liberty except by procedure established by law.
Could you tell me: What is the right to equality under the Constitution?,REFERENCE ANSWER: Art. 14: equality before the law and equal protection of the laws. | EXPECTED CITATIONS: Art. 14,Art. 14: equality before the law and equal protection of the laws.
Could you tell me: What does Article 19 guarantee?,"REFERENCE ANSWER: Art. 19: freedoms of speech, assembly, association, movement, residence, profession. | EXPECTED CITATIONS: Art. 19","Art. 19: freedoms of speech, assembly, association, movement, residence, profession."
Could you tell me: What is the right to constitutional remedies?,REFERENCE ANSWER: Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs. | EXPECTED CITATIONS: Art. 32,Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs.
Could you tell me: What power do High Courts have under Article 226?,REFERENCE ANSWER: Art. 226: High Court power to issue writs within its territorial jurisdiction. | EXPECTED CITATIONS: Art. 226,Art. 226: High Court power to issue writs within its territorial jurisdiction.
Could you tell me: When is an agreement a contract under Section 10?,"REFERENCE ANSWER: Contract Act s.10: free consent, competent parties, lawful consideration and object. | EXPECTED CITATIONS: Contract Act s.10","Contract Act s.10: free consent, competent parties, lawful consideration and object."
Could you tell me: What does Section 2 of the Indian Contract Act define?,"REFERENCE ANSWER: Contract Act s.2: defines proposal, acceptance, promise and consideration. | EXPECTED CITATIONS: Contract Act s.2","Contract Act s.2: defines proposal, acceptance, promise and consideration."
Could you tell me: What compensation is payable when a contract is broken?,REFERENCE ANSWER: Contract Act s.73: compensation for loss naturally arising from breach; not remote loss. | EXPECTED CITATIONS: Contract Act s.73,Contract Act s.73: compensation for loss naturally arising from breach; not remote loss.
Could you tell me: Who is a consumer under the CP Act 2019?,REFERENCE ANSWER: CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose. | EXPECTED CITATIONS: CP s.2,CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose.
Could you tell me: What does Section 35 of the Consumer Protection Act say?,REFERENCE ANSWER: CP s.35: complaint to the District Commission within its pecuniary jurisdiction. | EXPECTED CITATIONS: CP s.35,CP s.35: complaint to the District Commission within its pecuniary jurisdiction.
Could you tell me: What does Section 17 of the Consumer Protection Act cover?,REFERENCE ANSWER: CP s.17: violation of consumer rights may be raised to the CCPA. | EXPECTED CITATIONS: CP s.17,CP s.17: violation of consumer rights may be raised to the CCPA.
Could you tell me: How does the DPDP Act define personal data?,REFERENCE ANSWER: DPDP s.2: personal data = data about an identifiable individual. | EXPECTED CITATIONS: DPDP s.2,DPDP s.2: personal data = data about an identifiable individual.
Could you tell me: When may personal data be processed under the DPDP Act?,"REFERENCE ANSWER: DPDP s.4: processing only for a lawful purpose, on consent or legitimate uses. | EXPECTED CITATIONS: DPDP s.4","DPDP s.4: processing only for a lawful purpose, on consent or legitimate uses."
Could you tell me: What does Section 8 of the DPDP Act require of a Data Fiduciary?,"REFERENCE ANSWER: DPDP s.8: Data Fiduciary duties — accuracy, security safeguards, erasure. | EXPECTED CITATIONS: DPDP s.8","DPDP s.8: Data Fiduciary duties — accuracy, security safeguards, erasure."
Could you tell me: What does BNSS Section 173 say about cognizable cases?,REFERENCE ANSWER: BNSS s.173: FIR — information on a cognizable offence recorded in writing. | EXPECTED CITATIONS: BNSS s.173,BNSS s.173: FIR — information on a cognizable offence recorded in writing.
Could you tell me: How is bail granted in non-bailable offences under BNSS?,"REFERENCE ANSWER: BNSS s.480: bail in non-bailable offences, subject to conditions. | EXPECTED CITATIONS: BNSS s.480","BNSS s.480: bail in non-bailable offences, subject to conditions."
Could you tell me: Where are the definitions in the Bharatiya Nagarik Suraksha Sanhita 2023?,REFERENCE ANSWER: BNSS s.2 = definitions used across the procedural code. | EXPECTED CITATIONS: BNSS s.2,BNSS s.2 = definitions used across the procedural code.
Could you tell me: What does BSA Section 63 say about electronic records?,REFERENCE ANSWER: BSA s.63: conditions for admissibility of electronic records. | EXPECTED CITATIONS: BSA s.63,BSA s.63: conditions for admissibility of electronic records.
Could you tell me: How are expert opinions treated under Section 39 of the BSA?,REFERENCE ANSWER: BSA s.39: opinions of experts are relevant facts on specialised points. | EXPECTED CITATIONS: BSA s.39,BSA s.39: opinions of experts are relevant facts on specialised points.
Could you tell me: Where are the definitions in the Bharatiya Sakshya Adhiniyam 2023?,"REFERENCE ANSWER: BSA s.2: definitions, including 'evidence'. | EXPECTED CITATIONS: BSA s.2","BSA s.2: definitions, including 'evidence'."
Could you tell me: How does the Bharatiya Nyaya Sanhita punish murder?,"REFERENCE ANSWER: BNS s.103: murder punishable by death or life imprisonment, plus fine. | EXPECTED CITATIONS: BNS s.103","BNS s.103: murder punishable by death or life imprisonment, plus fine."
Could you tell me: How does the Bharatiya Nyaya Sanhita define rape?,"REFERENCE ANSWER: BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine. | EXPECTED CITATIONS: BNS s.63","BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine."
Quick question — What does BNS Section 309 say about robbery?,REFERENCE ANSWER: BNS s.309: robbery is theft or extortion with force / fear of instant hurt. | EXPECTED CITATIONS: BNS s.309,BNS s.309: robbery is theft or extortion with force / fear of instant hurt.
Quick question — What punishments are available under BNS 2023?,"REFERENCE ANSWER: BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service. | EXPECTED CITATIONS: BNS s.4","BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service."
Quick question — What does BNS Section 2 cover?,REFERENCE ANSWER: BNS s.2 = definitions used across the Sanhita. | EXPECTED CITATIONS: BNS s.2,BNS s.2 = definitions used across the Sanhita.
Could you tell me: What does Article 21 protect?,REFERENCE ANSWER: Art. 21: no deprivation of life or personal liberty except by procedure established by law. | EXPECTED CITATIONS: Art. 21,Art. 21: no deprivation of life or personal liberty except by procedure established by law.
Quick question — What does Article 14 of the Constitution guarantee?,REFERENCE ANSWER: Art. 14: equality before the law and equal protection of the laws. | EXPECTED CITATIONS: Art. 14,Art. 14: equality before the law and equal protection of the laws.
Quick question — What freedoms does Article 19 of the Constitution protect?,"REFERENCE ANSWER: Art. 19: freedoms of speech, assembly, association, movement, residence, profession. | EXPECTED CITATIONS: Art. 19","Art. 19: freedoms of speech, assembly, association, movement, residence, profession."
Quick question — What is Article 32 of the Constitution about?,REFERENCE ANSWER: Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs. | EXPECTED CITATIONS: Art. 32,Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs.
Quick question — What is Article 226 of the Constitution about?,REFERENCE ANSWER: Art. 226: High Court power to issue writs within its territorial jurisdiction. | EXPECTED CITATIONS: Art. 226,Art. 226: High Court power to issue writs within its territorial jurisdiction.
Quick question — What constitutes a valid contract under the Indian Contract Act 1872?,"REFERENCE ANSWER: Contract Act s.10: free consent, competent parties, lawful consideration and object. | EXPECTED CITATIONS: Contract Act s.10","Contract Act s.10: free consent, competent parties, lawful consideration and object."
Quick question — How does the Contract Act define a proposal?,"REFERENCE ANSWER: Contract Act s.2: defines proposal, acceptance, promise and consideration. | EXPECTED CITATIONS: Contract Act s.2","Contract Act s.2: defines proposal, acceptance, promise and consideration."
Quick question — What does Section 73 of the Contract Act say about damages?,REFERENCE ANSWER: Contract Act s.73: compensation for loss naturally arising from breach; not remote loss. | EXPECTED CITATIONS: Contract Act s.73,Contract Act s.73: compensation for loss naturally arising from breach; not remote loss.
Quick question — What is the definition of consumer under the Consumer Protection Act 2019?,REFERENCE ANSWER: CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose. | EXPECTED CITATIONS: CP s.2,CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose.
Quick question — How does a consumer file a complaint under the CP Act 2019?,REFERENCE ANSWER: CP s.35: complaint to the District Commission within its pecuniary jurisdiction. | EXPECTED CITATIONS: CP s.35,CP s.35: complaint to the District Commission within its pecuniary jurisdiction.
Quick question — How can violations of consumer rights be raised to the CCPA?,REFERENCE ANSWER: CP s.17: violation of consumer rights may be raised to the CCPA. | EXPECTED CITATIONS: CP s.17,CP s.17: violation of consumer rights may be raised to the CCPA.
Quick question — What is personal data under the DPDP Act 2023?,REFERENCE ANSWER: DPDP s.2: personal data = data about an identifiable individual. | EXPECTED CITATIONS: DPDP s.2,DPDP s.2: personal data = data about an identifiable individual.
Quick question — What are the grounds for processing personal data under the DPDP Act 2023?,"REFERENCE ANSWER: DPDP s.4: processing only for a lawful purpose, on consent or legitimate uses. | EXPECTED CITATIONS: DPDP s.4","DPDP s.4: processing only for a lawful purpose, on consent or legitimate uses."
Quick question — What obligations does a Data Fiduciary have under the DPDP Act 2023?,"REFERENCE ANSWER: DPDP s.8: Data Fiduciary duties — accuracy, security safeguards, erasure. | EXPECTED CITATIONS: DPDP s.8","DPDP s.8: Data Fiduciary duties — accuracy, security safeguards, erasure."
Quick question — What is the procedure for filing an FIR under BNSS 2023?,REFERENCE ANSWER: BNSS s.173: FIR — information on a cognizable offence recorded in writing. | EXPECTED CITATIONS: BNSS s.173,BNSS s.173: FIR — information on a cognizable offence recorded in writing.
Quick question — What does BNSS 2023 say about bail in non-bailable offences?,"REFERENCE ANSWER: BNSS s.480: bail in non-bailable offences, subject to conditions. | EXPECTED CITATIONS: BNSS s.480","BNSS s.480: bail in non-bailable offences, subject to conditions."
Quick question — What does BNSS Section 2 cover?,REFERENCE ANSWER: BNSS s.2 = definitions used across the procedural code. | EXPECTED CITATIONS: BNSS s.2,BNSS s.2 = definitions used across the procedural code.
Quick question — What is the admissibility of electronic records under BSA 2023?,REFERENCE ANSWER: BSA s.63: conditions for admissibility of electronic records. | EXPECTED CITATIONS: BSA s.63,BSA s.63: conditions for admissibility of electronic records.
