input,eval_context,expected_output
What was Rinderpest and what impact did it have on Africa?,"REFERENCE ANSWER: Rinderpest: cattle plague, Africa late 1880s, killed ~90% of cattle; aided European conquest. | EXPECTED CITATIONS: Hist Ch.3 §2.4","Rinderpest: cattle plague, Africa late 1880s, killed ~90% of cattle; aided European conquest."
What was indentured labour migration from India?,"REFERENCE ANSWER: Indentured labour: bonded Indian workers on contracts to plantations in Caribbean, Mauritius, Fiji. | EXPECTED CITATIONS: Hist Ch.3 §2.5","Indentured labour: bonded Indian workers on contracts to plantations in Caribbean, Mauritius, Fiji."
What was the Great Depression?,"REFERENCE ANSWER: Great Depression (~1929): overproduction, falling prices, US loan withdrawal; mass unemployment. | EXPECTED CITATIONS: Hist Ch.3 §3.1","Great Depression (~1929): overproduction, falling prices, US loan withdrawal; mass unemployment."
How are resources classified in Class 10 Geography?,"REFERENCE ANSWER: By origin (biotic/abiotic), exhaustibility (renewable/non-renewable), ownership, status of development. | EXPECTED CITATIONS: Geo Ch.1 §1.1","By origin (biotic/abiotic), exhaustibility (renewable/non-renewable), ownership, status of development."
What is the difference between renewable and non-renewable resources?,"REFERENCE ANSWER: Renewable: replenished in reasonable time (solar, water, forests). Non-renewable: exhaustible (coal, petroleum). | EXPECTED CITATIONS: Geo Ch.1 §1.1","Renewable: replenished in reasonable time (solar, water, forests). Non-renewable: exhaustible (coal, petroleum)."
What is soil erosion and how can it be prevented?,"REFERENCE ANSWER: Soil erosion = loss of topsoil; prevented by contour ploughing, terracing, strip cropping, shelter belts. | EXPECTED CITATIONS: Geo Ch.1 §2.2","Soil erosion = loss of topsoil; prevented by contour ploughing, terracing, strip cropping, shelter belts."
What is black soil and what is it suitable for?,"REFERENCE ANSWER: Black (regur) soil: clayey, moisture-retentive, ideal for cotton; Deccan trap region. | EXPECTED CITATIONS: Geo Ch.1 §2.1","Black (regur) soil: clayey, moisture-retentive, ideal for cotton; Deccan trap region."
What was the Rio de Janeiro Earth Summit?,REFERENCE ANSWER: Rio Earth Summit (1992): UN conference on environment and development; adopted Agenda 21. | EXPECTED CITATIONS: Geo Ch.1 §1.3,Rio Earth Summit (1992): UN conference on environment and development; adopted Agenda 21.
What is biodiversity?,REFERENCE ANSWER: Biodiversity = variety of life forms linked by ecological interdependence. | EXPECTED CITATIONS: Geo Ch.2 §1.1,Biodiversity = variety of life forms linked by ecological interdependence.
What did the Wildlife Protection Act of 1972 do?,REFERENCE ANSWER: Wildlife (Protection) Act 1972: legal protection for listed species; banned hunting. | EXPECTED CITATIONS: Geo Ch.2 §2.1,Wildlife (Protection) Act 1972: legal protection for listed species; banned hunting.
What are reserved and protected forests?,"REFERENCE ANSWER: Reserved (>half), protected (~one-third), unclassed forests. | EXPECTED CITATIONS: Geo Ch.2 §3.1","Reserved (>half), protected (~one-third), unclassed forests."
What was the Chipko movement?,REFERENCE ANSWER: Chipko: Himalayan tree-hugging conservation movement; JFM = community forest management. | EXPECTED CITATIONS: Geo Ch.2 §3.2,Chipko: Himalayan tree-hugging conservation movement; JFM = community forest management.
What is per capita income and how is it used to measure development?,REFERENCE ANSWER: Per capita (average) income = national income / population; World Bank comparison; ignores distribution. | EXPECTED CITATIONS: Econ Ch.1 §1.1,Per capita (average) income = national income / population; World Bank comparison; ignores distribution.
What is the Human Development Index?,"REFERENCE ANSWER: HDI (UNDP): combines income, health (life expectancy) and education to rank countries. | EXPECTED CITATIONS: Econ Ch.1 §1.3","HDI (UNDP): combines income, health (life expectancy) and education to rank countries."
"Besides income, what indicators are used to measure development?","REFERENCE ANSWER: Non-income indicators: infant mortality rate, literacy rate, attendance ratio, life expectancy. | EXPECTED CITATIONS: Econ Ch.1 §1.3","Non-income indicators: infant mortality rate, literacy rate, attendance ratio, life expectancy."
"What is the difference between the primary, secondary and tertiary sectors?","REFERENCE ANSWER: Primary (natural resources), secondary (manufacturing), tertiary (services). | EXPECTED CITATIONS: Econ Ch.2 §1.1","Primary (natural resources), secondary (manufacturing), tertiary (services)."
What is GDP?,REFERENCE ANSWER: GDP = value of all final goods and services produced in a country in a year; sum of the three sectors. | EXPECTED CITATIONS: Econ Ch.2 §1.2,GDP = value of all final goods and services produced in a country in a year; sum of the three sectors.
What is the difference between the organised and unorganised sectors?,"REFERENCE ANSWER: Organised: registered, secure jobs with benefits. Unorganised: small units, insecure, no benefits. | EXPECTED CITATIONS: Econ Ch.2 §2.1","Organised: registered, secure jobs with benefits. Unorganised: small units, insecure, no benefits."
What is the Belgian model of power sharing?,"REFERENCE ANSWER: Belgium: equal ministers for Dutch/French, community government, special status for Brussels. | EXPECTED CITATIONS: Civics Ch.1 §1.1","Belgium: equal ministers for Dutch/French, community government, special status for Brussels."
What was Sri Lanka's majoritarian policy?,"REFERENCE ANSWER: Sri Lanka: Sinhala majority (~74%) majoritarianism (official language, favouring Sinhala/Buddhism); alienated Tamils. | EXPECTED CITATIONS: Civics Ch.1 §1.2","Sri Lanka: Sinhala majority (~74%) majoritarianism (official language, favouring Sinhala/Buddhism); alienated Tamils."
Why is power sharing important in a democracy?,"REFERENCE ANSWER: Prudential: reduces conflict, ensures stability. Moral: it is the spirit of democracy. | EXPECTED CITATIONS: Civics Ch.1 §2.1","Prudential: reduces conflict, ensures stability. Moral: it is the spirit of democracy."
What are the different forms of power sharing?,"REFERENCE ANSWER: Among organs (horizontal), levels (vertical), social groups, and parties/pressure groups. | EXPECTED CITATIONS: Civics Ch.1 §2.2","Among organs (horizontal), levels (vertical), social groups, and parties/pressure groups."
What is federalism and what are its key features?,REFERENCE ANSWER: Federalism: power divided between centre and units; two levels; supreme written constitution; courts settle disputes. | EXPECTED CITATIONS: Civics Ch.2 §1.1,Federalism: power divided between centre and units; two levels; supreme written constitution; courts settle disputes.
"What are the Union, State and Concurrent Lists?","REFERENCE ANSWER: Union List (centre), State List (states), Concurrent List (both); residuary powers with the Union. | EXPECTED CITATIONS: Civics Ch.2 §1.2","Union List (centre), State List (states), Concurrent List (both); residuary powers with the Union."
What is the difference between coming-together and holding-together federations?,"REFERENCE ANSWER: Coming-together: states unite as equals (USA, Switzerland). Holding-together: big country devolves power (India, Spain). | EXPECTED CITATIONS: Civics Ch.2 §2.1","Coming-together: states unite as equals (USA, Switzerland). Holding-together: big country devolves power (India, Spain)."
What is the third tier of government in India?,"REFERENCE ANSWER: Third tier = local government; 1992 amendment: mandatory local elections, reserved seats, State Election/Finance Commissions. | EXPECTED CITATIONS: Civics Ch.2 §3.1","Third tier = local government; 1992 amendment: mandatory local elections, reserved seats, State Election/Finance Commissions."
How did the French Revolution spread the idea of nationalism?,"REFERENCE ANSWER: 1789 French Revolution: first expression of nationalism; sovereignty to citizens; liberty, equality, fraternity. | EXPECTED CITATIONS: Hist Ch.1 §1.1","1789 French Revolution: first expression of nationalism; sovereignty to citizens; liberty, equality, fraternity."
What were the main features of the Civil Code of 1804?,"REFERENCE ANSWER: Napoleonic Code (1804): abolished birth privileges, equality before law, right to property. | EXPECTED CITATIONS: Hist Ch.1 §1.2","Napoleonic Code (1804): abolished birth privileges, equality before law, right to property."
What did Mazzini do for Italian nationalism?,"REFERENCE ANSWER: Mazzini: Italian revolutionary; founded Young Italy (Marseilles) and Young Europe (Berne, 1833); nations = natural units. | EXPECTED CITATIONS: Hist Ch.1 §2.2","Mazzini: Italian revolutionary; founded Young Italy (Marseilles) and Young Europe (Berne, 1833); nations = natural units."
What did the German customs union (zollverein) do?,"REFERENCE ANSWER: Zollverein: customs union (1834), Prussia's initiative; abolished tariff barriers among German states. | EXPECTED CITATIONS: Hist Ch.1 §2.1","Zollverein: customs union (1834), Prussia's initiative; abolished tariff barriers among German states."
What happened at the Frankfurt Parliament in 1848?,"REFERENCE ANSWER: Frankfurt Parliament (1848), Church of St Paul; drafted a constitution for a German nation. | EXPECTED CITATIONS: Hist Ch.1 §3.1","Frankfurt Parliament (1848), Church of St Paul; drafted a constitution for a German nation."
What was the vision in Sorrieu's series of prints?,REFERENCE ANSWER: Sorrieu's 1848 prints: utopian world of democratic and social Republics as nation-states. | EXPECTED CITATIONS: Hist Ch.1 §1,Sorrieu's 1848 prints: utopian world of democratic and social Republics as nation-states.
What was the idea behind the Non-Cooperation Movement?,"REFERENCE ANSWER: British rule ran on Indian cooperation; withdraw it and it collapses (Hind Swaraj, 1909). | EXPECTED CITATIONS: Hist Ch.2 §1.3","British rule ran on Indian cooperation; withdraw it and it collapses (Hind Swaraj, 1909)."
Why did Gandhi oppose the Rowlatt Act?,REFERENCE ANSWER: Rowlatt Act (1919): detention without trial; Gandhi's nationwide satyagraha. | EXPECTED CITATIONS: Hist Ch.2 §1.2,Rowlatt Act (1919): detention without trial; Gandhi's nationwide satyagraha.
Why did Gandhi take up the Khilafat cause?,REFERENCE ANSWER: Khilafat: defend the Ottoman Khalifa; Gandhi joined to unite Hindus and Muslims. | EXPECTED CITATIONS: Hist Ch.2 §1.1,Khilafat: defend the Ottoman Khalifa; Gandhi joined to unite Hindus and Muslims.
Why did Gandhi lead the Salt March?,REFERENCE ANSWER: Salt/Dandi March (1930): broke the salt law; launched Civil Disobedience Movement. | EXPECTED CITATIONS: Hist Ch.2 §3.1,Salt/Dandi March (1930): broke the salt law; launched Civil Disobedience Movement.
How did the Silk Routes link the world?,"REFERENCE ANSWER: Silk Routes: pre-modern trade routes linking Asia, Europe, N. Africa; carried goods and ideas. | EXPECTED CITATIONS: Hist Ch.3 §1.1","Silk Routes: pre-modern trade routes linking Asia, Europe, N. Africa; carried goods and ideas."
What happened after the Corn Laws were abolished in Britain?,"REFERENCE ANSWER: Corn Laws: restricted corn imports; abolition brought cheaper food, farm decline, migration. | EXPECTED CITATIONS: Hist Ch.3 §1.3","Corn Laws: restricted corn imports; abolition brought cheaper food, farm decline, migration."
How did the cattle plague affect Africa?,"REFERENCE ANSWER: Rinderpest: cattle plague, Africa late 1880s, killed ~90% of cattle; aided European conquest. | EXPECTED CITATIONS: Hist Ch.3 §2.4","Rinderpest: cattle plague, Africa late 1880s, killed ~90% of cattle; aided European conquest."
Who were the Indian indentured labourers?,"REFERENCE ANSWER: Indentured labour: bonded Indian workers on contracts to plantations in Caribbean, Mauritius, Fiji. | EXPECTED CITATIONS: Hist Ch.3 §2.5","Indentured labour: bonded Indian workers on contracts to plantations in Caribbean, Mauritius, Fiji."
What caused the Great Depression according to the chapter?,"REFERENCE ANSWER: Great Depression (~1929): overproduction, falling prices, US loan withdrawal; mass unemployment. | EXPECTED CITATIONS: Hist Ch.3 §3.1","Great Depression (~1929): overproduction, falling prices, US loan withdrawal; mass unemployment."
What are the main types of resources?,"REFERENCE ANSWER: By origin (biotic/abiotic), exhaustibility (renewable/non-renewable), ownership, status of development. | EXPECTED CITATIONS: Geo Ch.1 §1.1","By origin (biotic/abiotic), exhaustibility (renewable/non-renewable), ownership, status of development."
How do renewable and non-renewable resources differ?,"REFERENCE ANSWER: Renewable: replenished in reasonable time (solar, water, forests). Non-renewable: exhaustible (coal, petroleum). | EXPECTED CITATIONS: Geo Ch.1 §1.1","Renewable: replenished in reasonable time (solar, water, forests). Non-renewable: exhaustible (coal, petroleum)."
How can soil erosion be controlled?,"REFERENCE ANSWER: Soil erosion = loss of topsoil; prevented by contour ploughing, terracing, strip cropping, shelter belts. | EXPECTED CITATIONS: Geo Ch.1 §2.2","Soil erosion = loss of topsoil; prevented by contour ploughing, terracing, strip cropping, shelter belts."
What are the features of black (regur) soil?,"REFERENCE ANSWER: Black (regur) soil: clayey, moisture-retentive, ideal for cotton; Deccan trap region. | EXPECTED CITATIONS: Geo Ch.1 §2.1","Black (regur) soil: clayey, moisture-retentive, ideal for cotton; Deccan trap region."
What happened at the 1992 Earth Summit in Rio?,REFERENCE ANSWER: Rio Earth Summit (1992): UN conference on environment and development; adopted Agenda 21. | EXPECTED CITATIONS: Geo Ch.1 §1.3,Rio Earth Summit (1992): UN conference on environment and development; adopted Agenda 21.
What does biodiversity mean according to the chapter?,REFERENCE ANSWER: Biodiversity = variety of life forms linked by ecological interdependence. | EXPECTED CITATIONS: Geo Ch.2 §1.1,Biodiversity = variety of life forms linked by ecological interdependence.
How does the Wildlife Protection Act protect species?,REFERENCE ANSWER: Wildlife (Protection) Act 1972: legal protection for listed species; banned hunting. | EXPECTED CITATIONS: Geo Ch.2 §2.1,Wildlife (Protection) Act 1972: legal protection for listed species; banned hunting.
How are forests classified in India?,"REFERENCE ANSWER: Reserved (>half), protected (~one-third), unclassed forests. | EXPECTED CITATIONS: Geo Ch.2 §3.1","Reserved (>half), protected (~one-third), unclassed forests."
What is joint forest management?,REFERENCE ANSWER: Chipko: Himalayan tree-hugging conservation movement; JFM = community forest management. | EXPECTED CITATIONS: Geo Ch.2 §3.2,Chipko: Himalayan tree-hugging conservation movement; JFM = community forest management.
How is average income used to compare countries?,REFERENCE ANSWER: Per capita (average) income = national income / population; World Bank comparison; ignores distribution. | EXPECTED CITATIONS: Econ Ch.1 §1.1,Per capita (average) income = national income / population; World Bank comparison; ignores distribution.
What does the HDI measure?,"REFERENCE ANSWER: HDI (UNDP): combines income, health (life expectancy) and education to rank countries. | EXPECTED CITATIONS: Econ Ch.1 §1.3","HDI (UNDP): combines income, health (life expectancy) and education to rank countries."
What non-income indicators of development does the chapter mention?,"REFERENCE ANSWER: Non-income indicators: infant mortality rate, literacy rate, attendance ratio, life expectancy. | EXPECTED CITATIONS: Econ Ch.1 §1.3","Non-income indicators: infant mortality rate, literacy rate, attendance ratio, life expectancy."
How are the three sectors of the economy defined?,"REFERENCE ANSWER: Primary (natural resources), secondary (manufacturing), tertiary (services). | EXPECTED CITATIONS: Econ Ch.2 §1.1","Primary (natural resources), secondary (manufacturing), tertiary (services)."
How is Gross Domestic Product measured?,REFERENCE ANSWER: GDP = value of all final goods and services produced in a country in a year; sum of the three sectors. | EXPECTED CITATIONS: Econ Ch.2 §1.2,GDP = value of all final goods and services produced in a country in a year; sum of the three sectors.
How do organised and unorganised sectors differ?,"REFERENCE ANSWER: Organised: registered, secure jobs with benefits. Unorganised: small units, insecure, no benefits. | EXPECTED CITATIONS: Econ Ch.2 §2.1","Organised: registered, secure jobs with benefits. Unorganised: small units, insecure, no benefits."
How did Belgium accommodate its ethnic groups?,"REFERENCE ANSWER: Belgium: equal ministers for Dutch/French, community government, special status for Brussels. | EXPECTED CITATIONS: Civics Ch.1 §1.1","Belgium: equal ministers for Dutch/French, community government, special status for Brussels."
How did majoritarianism affect Sri Lanka?,"REFERENCE ANSWER: Sri Lanka: Sinhala majority (~74%) majoritarianism (official language, favouring Sinhala/Buddhism); alienated Tamils. | EXPECTED CITATIONS: Civics Ch.1 §1.2","Sri Lanka: Sinhala majority (~74%) majoritarianism (official language, favouring Sinhala/Buddhism); alienated Tamils."
What are the reasons for power sharing?,"REFERENCE ANSWER: Prudential: reduces conflict, ensures stability. Moral: it is the spirit of democracy. | EXPECTED CITATIONS: Civics Ch.1 §2.1","Prudential: reduces conflict, ensures stability. Moral: it is the spirit of democracy."
In what ways can power be shared in a democracy?,"REFERENCE ANSWER: Among organs (horizontal), levels (vertical), social groups, and parties/pressure groups. | EXPECTED CITATIONS: Civics Ch.1 §2.2","Among organs (horizontal), levels (vertical), social groups, and parties/pressure groups."
What are the main features of a federal system?,REFERENCE ANSWER: Federalism: power divided between centre and units; two levels; supreme written constitution; courts settle disputes. | EXPECTED CITATIONS: Civics Ch.2 §1.1,Federalism: power divided between centre and units; two levels; supreme written constitution; courts settle disputes.
How does the Indian Constitution divide subjects between the centre and states?,"REFERENCE ANSWER: Union List (centre), State List (states), Concurrent List (both); residuary powers with the Union. | EXPECTED CITATIONS: Civics Ch.2 §1.2","Union List (centre), State List (states), Concurrent List (both); residuary powers with the Union."
How do coming-together and holding-together federations differ?,"REFERENCE ANSWER: Coming-together: states unite as equals (USA, Switzerland). Holding-together: big country devolves power (India, Spain). | EXPECTED CITATIONS: Civics Ch.2 §2.1","Coming-together: states unite as equals (USA, Switzerland). Holding-together: big country devolves power (India, Spain)."
What did the 1992 constitutional amendment do for local government?,"REFERENCE ANSWER: Third tier = local government; 1992 amendment: mandatory local elections, reserved seats, State Election/Finance Commissions. | EXPECTED CITATIONS: Civics Ch.2 §3.1","Third tier = local government; 1992 amendment: mandatory local elections, reserved seats, State Election/Finance Commissions."
Why is the French Revolution important for European nationalism?,"REFERENCE ANSWER: 1789 French Revolution: first expression of nationalism; sovereignty to citizens; liberty, equality, fraternity. | EXPECTED CITATIONS: Hist Ch.1 §1.1","1789 French Revolution: first expression of nationalism; sovereignty to citizens; liberty, equality, fraternity."
What changes did Napoleon's Civil Code introduce?,"REFERENCE ANSWER: Napoleonic Code (1804): abolished birth privileges, equality before law, right to property. | EXPECTED CITATIONS: Hist Ch.1 §1.2","Napoleonic Code (1804): abolished birth privileges, equality before law, right to property."
What secret societies did Mazzini found?,"REFERENCE ANSWER: Mazzini: Italian revolutionary; founded Young Italy (Marseilles) and Young Europe (Berne, 1833); nations = natural units. | EXPECTED CITATIONS: Hist Ch.1 §2.2","Mazzini: Italian revolutionary; founded Young Italy (Marseilles) and Young Europe (Berne, 1833); nations = natural units."
Could you tell me: What was the zollverein?,"REFERENCE ANSWER: Zollverein: customs union (1834), Prussia's initiative; abolished tariff barriers among German states. | EXPECTED CITATIONS: Hist Ch.1 §2.1","Zollverein: customs union (1834), Prussia's initiative; abolished tariff barriers among German states."
Could you tell me: What was the Frankfurt Parliament?,"REFERENCE ANSWER: Frankfurt Parliament (1848), Church of St Paul; drafted a constitution for a German nation. | EXPECTED CITATIONS: Hist Ch.1 §3.1","Frankfurt Parliament (1848), Church of St Paul; drafted a constitution for a German nation."
Could you tell me: What did Frédéric Sorrieu's 1848 prints depict?,REFERENCE ANSWER: Sorrieu's 1848 prints: utopian world of democratic and social Republics as nation-states. | EXPECTED CITATIONS: Hist Ch.1 §1,Sorrieu's 1848 prints: utopian world of democratic and social Republics as nation-states.
On what belief did Gandhi launch Non-Cooperation?,"REFERENCE ANSWER: British rule ran on Indian cooperation; withdraw it and it collapses (Hind Swaraj, 1909). | EXPECTED CITATIONS: Hist Ch.2 §1.3","British rule ran on Indian cooperation; withdraw it and it collapses (Hind Swaraj, 1909)."
Could you tell me: What was the Rowlatt Act?,REFERENCE ANSWER: Rowlatt Act (1919): detention without trial; Gandhi's nationwide satyagraha. | EXPECTED CITATIONS: Hist Ch.2 §1.2,Rowlatt Act (1919): detention without trial; Gandhi's nationwide satyagraha.
Could you tell me: What was the Khilafat issue?,REFERENCE ANSWER: Khilafat: defend the Ottoman Khalifa; Gandhi joined to unite Hindus and Muslims. | EXPECTED CITATIONS: Hist Ch.2 §1.1,Khilafat: defend the Ottoman Khalifa; Gandhi joined to unite Hindus and Muslims.
What was the Salt March of 1930?,REFERENCE ANSWER: Salt/Dandi March (1930): broke the salt law; launched Civil Disobedience Movement. | EXPECTED CITATIONS: Hist Ch.2 §3.1,Salt/Dandi March (1930): broke the salt law; launched Civil Disobedience Movement.
Could you tell me: What were the Silk Routes?,"REFERENCE ANSWER: Silk Routes: pre-modern trade routes linking Asia, Europe, N. Africa; carried goods and ideas. | EXPECTED CITATIONS: Hist Ch.3 §1.1","Silk Routes: pre-modern trade routes linking Asia, Europe, N. Africa; carried goods and ideas."
Could you tell me: What were the Corn Laws?,"REFERENCE ANSWER: Corn Laws: restricted corn imports; abolition brought cheaper food, farm decline, migration. | EXPECTED CITATIONS: Hist Ch.3 §1.3","Corn Laws: restricted corn imports; abolition brought cheaper food, farm decline, migration."
Could you tell me: What was Rinderpest and what impact did it have on Africa?,"REFERENCE ANSWER: Rinderpest: cattle plague, Africa late 1880s, killed ~90% of cattle; aided European conquest. | EXPECTED CITATIONS: Hist Ch.3 §2.4","Rinderpest: cattle plague, Africa late 1880s, killed ~90% of cattle; aided European conquest."
Could you tell me: What was indentured labour migration from India?,"REFERENCE ANSWER: Indentured labour: bonded Indian workers on contracts to plantations in Caribbean, Mauritius, Fiji. | EXPECTED CITATIONS: Hist Ch.3 §2.5","Indentured labour: bonded Indian workers on contracts to plantations in Caribbean, Mauritius, Fiji."
Could you tell me: What was the Great Depression?,"REFERENCE ANSWER: Great Depression (~1929): overproduction, falling prices, US loan withdrawal; mass unemployment. | EXPECTED CITATIONS: Hist Ch.3 §3.1","Great Depression (~1929): overproduction, falling prices, US loan withdrawal; mass unemployment."
On what bases are resources classified?,"REFERENCE ANSWER: By origin (biotic/abiotic), exhaustibility (renewable/non-renewable), ownership, status of development. | EXPECTED CITATIONS: Geo Ch.1 §1.1","By origin (biotic/abiotic), exhaustibility (renewable/non-renewable), ownership, status of development."
Could you tell me: What is the difference between renewable and non-renewable resources?,"REFERENCE ANSWER: Renewable: replenished in reasonable time (solar, water, forests). Non-renewable: exhaustible (coal, petroleum). | EXPECTED CITATIONS: Geo Ch.1 §1.1","Renewable: replenished in reasonable time (solar, water, forests). Non-renewable: exhaustible (coal, petroleum)."
Could you tell me: What is soil erosion and how can it be prevented?,"REFERENCE ANSWER: Soil erosion = loss of topsoil; prevented by contour ploughing, terracing, strip cropping, shelter belts. | EXPECTED CITATIONS: Geo Ch.1 §2.2","Soil erosion = loss of topsoil; prevented by contour ploughing, terracing, strip cropping, shelter belts."
Could you tell me: What is black soil and what is it suitable for?,"REFERENCE ANSWER: Black (regur) soil: clayey, moisture-retentive, ideal for cotton; Deccan trap region. | EXPECTED CITATIONS: Geo Ch.1 §2.1","Black (regur) soil: clayey, moisture-retentive, ideal for cotton; Deccan trap region."
Could you tell me: What was the Rio de Janeiro Earth Summit?,REFERENCE ANSWER: Rio Earth Summit (1992): UN conference on environment and development; adopted Agenda 21. | EXPECTED CITATIONS: Geo Ch.1 §1.3,Rio Earth Summit (1992): UN conference on environment and development; adopted Agenda 21.
Could you tell me: What is biodiversity?,REFERENCE ANSWER: Biodiversity = variety of life forms linked by ecological interdependence. | EXPECTED CITATIONS: Geo Ch.2 §1.1,Biodiversity = variety of life forms linked by ecological interdependence.
Could you tell me: What did the Wildlife Protection Act of 1972 do?,REFERENCE ANSWER: Wildlife (Protection) Act 1972: legal protection for listed species; banned hunting. | EXPECTED CITATIONS: Geo Ch.2 §2.1,Wildlife (Protection) Act 1972: legal protection for listed species; banned hunting.
Could you tell me: What are reserved and protected forests?,"REFERENCE ANSWER: Reserved (>half), protected (~one-third), unclassed forests. | EXPECTED CITATIONS: Geo Ch.2 §3.1","Reserved (>half), protected (~one-third), unclassed forests."
Could you tell me: What was the Chipko movement?,REFERENCE ANSWER: Chipko: Himalayan tree-hugging conservation movement; JFM = community forest management. | EXPECTED CITATIONS: Geo Ch.2 §3.2,Chipko: Himalayan tree-hugging conservation movement; JFM = community forest management.
What is per capita income?,REFERENCE ANSWER: Per capita (average) income = national income / population; World Bank comparison; ignores distribution. | EXPECTED CITATIONS: Econ Ch.1 §1.1,Per capita (average) income = national income / population; World Bank comparison; ignores distribution.
Could you tell me: What is the Human Development Index?,"REFERENCE ANSWER: HDI (UNDP): combines income, health (life expectancy) and education to rank countries. | EXPECTED CITATIONS: Econ Ch.1 §1.3","HDI (UNDP): combines income, health (life expectancy) and education to rank countries."
"Could you tell me: Besides income, what indicators are used to measure development?","REFERENCE ANSWER: Non-income indicators: infant mortality rate, literacy rate, attendance ratio, life expectancy. | EXPECTED CITATIONS: Econ Ch.1 §1.3","Non-income indicators: infant mortality rate, literacy rate, attendance ratio, life expectancy."
"Could you tell me: What is the difference between the primary, secondary and tertiary sectors?","REFERENCE ANSWER: Primary (natural resources), secondary (manufacturing), tertiary (services). | EXPECTED CITATIONS: Econ Ch.2 §1.1","Primary (natural resources), secondary (manufacturing), tertiary (services)."
Could you tell me: What is GDP?,REFERENCE ANSWER: GDP = value of all final goods and services produced in a country in a year; sum of the three sectors. | EXPECTED CITATIONS: Econ Ch.2 §1.2,GDP = value of all final goods and services produced in a country in a year; sum of the three sectors.
Could you tell me: What is the difference between the organised and unorganised sectors?,"REFERENCE ANSWER: Organised: registered, secure jobs with benefits. Unorganised: small units, insecure, no benefits. | EXPECTED CITATIONS: Econ Ch.2 §2.1","Organised: registered, secure jobs with benefits. Unorganised: small units, insecure, no benefits."
Could you tell me: What is the Belgian model of power sharing?,"REFERENCE ANSWER: Belgium: equal ministers for Dutch/French, community government, special status for Brussels. | EXPECTED CITATIONS: Civics Ch.1 §1.1","Belgium: equal ministers for Dutch/French, community government, special status for Brussels."
