input,eval_context,expected_output
What are the symptoms of COVID-19?,"REFERENCE ANSWER: Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion. | EXPECTED CITATIONS: COVID-19 — Symptoms","Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion."
How can COVID-19 be prevented?,"REFERENCE ANSWER: Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness. | EXPECTED CITATIONS: COVID-19 — Prevention","Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness."
What are the warning signs of diabetes?,"REFERENCE ANSWER: Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2. | EXPECTED CITATIONS: Diabetes — Symptoms","Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2."
What can I do to lower my risk of type 2 diabetes?,"REFERENCE ANSWER: Healthy weight, at least 150 min/week activity, healthy diet, no tobacco. | EXPECTED CITATIONS: Diabetes — Prevention","Healthy weight, at least 150 min/week activity, healthy diet, no tobacco."
How do type 1 and type 2 diabetes differ?,"REFERENCE ANSWER: Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable. | EXPECTED CITATIONS: Diabetes — Type 1 Diabetes|Diabetes — Type 2 Diabetes","Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable."
What medicines are used to treat diabetes?,"REFERENCE ANSWER: Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin. | EXPECTED CITATIONS: Diabetes — Diagnosis and Treatment","Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin."
What actually happens in the body in diabetes?,REFERENCE ANSWER: Chronic disease: too little insulin or ineffective insulin use raises blood glucose. | EXPECTED CITATIONS: Diabetes — Overview,Chronic disease: too little insulin or ineffective insulin use raises blood glucose.
Does high blood pressure have symptoms?,"REFERENCE ANSWER: Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness. | EXPECTED CITATIONS: Hypertension — Symptoms","Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness."
What reading counts as high blood pressure?,REFERENCE ANSWER: BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90). | EXPECTED CITATIONS: Hypertension — Overview,BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90).
What medicines treat high blood pressure?,"REFERENCE ANSWER: Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics). | EXPECTED CITATIONS: Hypertension — Treatment","Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics)."
What lifestyle changes help prevent high blood pressure?,"REFERENCE ANSWER: More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol. | EXPECTED CITATIONS: Hypertension — Prevention","More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol."
How does TB spread?,REFERENCE ANSWER: Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs. | EXPECTED CITATIONS: Tuberculosis — Overview,Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs.
What are the signs of active TB?,"REFERENCE ANSWER: Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats. | EXPECTED CITATIONS: Tuberculosis — Symptoms","Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats."
How is TB cured?,"REFERENCE ANSWER: Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early. | EXPECTED CITATIONS: Tuberculosis — Treatment","Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early."
What does dengue feel like?,"REFERENCE ANSWER: High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection. | EXPECTED CITATIONS: Dengue — Symptoms","High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection."
How do I know if dengue is turning severe?,"REFERENCE ANSWER: Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides. | EXPECTED CITATIONS: Dengue — Symptoms","Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides."
How can I protect against dengue?,"REFERENCE ANSWER: Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water. | EXPECTED CITATIONS: Dengue — Prevention and Control","Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water."
What are the early signs of malaria?,"REFERENCE ANSWER: Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine. | EXPECTED CITATIONS: Malaria — Symptoms","Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine."
How do you avoid getting malaria?,"REFERENCE ANSWER: Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis. | EXPECTED CITATIONS: Malaria — Prevention","Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis."
How is malaria treated?,REFERENCE ANSWER: Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax. | EXPECTED CITATIONS: Malaria — Treatment,Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax.
Which mental disorders are most common?,"REFERENCE ANSWER: Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental. | EXPECTED CITATIONS: Mental Health — Types of Mental Disorders","Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental."
What treatments exist for mental health conditions?,"REFERENCE ANSWER: Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder. | EXPECTED CITATIONS: Mental Health — Treatment","Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder."
How does anaemia make you feel?,"REFERENCE ANSWER: Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate. | EXPECTED CITATIONS: Anaemia — Signs and Symptoms","Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate."
What are the main causes of anaemia?,"REFERENCE ANSWER: Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell. | EXPECTED CITATIONS: Anaemia — Causes","Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell."
What are common COVID-19 symptoms?,"REFERENCE ANSWER: Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion. | EXPECTED CITATIONS: COVID-19 — Symptoms","Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion."
How do I reduce the spread of COVID-19?,"REFERENCE ANSWER: Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness. | EXPECTED CITATIONS: COVID-19 — Prevention","Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness."
How does diabetes present?,"REFERENCE ANSWER: Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2. | EXPECTED CITATIONS: Diabetes — Symptoms","Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2."
How do you prevent diabetes?,"REFERENCE ANSWER: Healthy weight, at least 150 min/week activity, healthy diet, no tobacco. | EXPECTED CITATIONS: Diabetes — Prevention","Healthy weight, at least 150 min/week activity, healthy diet, no tobacco."
Could you tell me: What is the difference between Type 1 and Type 2 diabetes?,"REFERENCE ANSWER: Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable. | EXPECTED CITATIONS: Diabetes — Type 1 Diabetes|Diabetes — Type 2 Diabetes","Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable."
Could you tell me: How is diabetes treated?,"REFERENCE ANSWER: Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin. | EXPECTED CITATIONS: Diabetes — Diagnosis and Treatment","Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin."
Could you tell me: What is diabetes?,REFERENCE ANSWER: Chronic disease: too little insulin or ineffective insulin use raises blood glucose. | EXPECTED CITATIONS: Diabetes — Overview,Chronic disease: too little insulin or ineffective insulin use raises blood glucose.
Could you tell me: What are the symptoms of hypertension?,"REFERENCE ANSWER: Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness. | EXPECTED CITATIONS: Hypertension — Symptoms","Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness."
Could you tell me: At what blood pressure is someone diagnosed with hypertension?,REFERENCE ANSWER: BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90). | EXPECTED CITATIONS: Hypertension — Overview,BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90).
Could you tell me: How is hypertension treated?,"REFERENCE ANSWER: Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics). | EXPECTED CITATIONS: Hypertension — Treatment","Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics)."
Could you tell me: How can hypertension be prevented?,"REFERENCE ANSWER: More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol. | EXPECTED CITATIONS: Hypertension — Prevention","More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol."
Could you tell me: How is tuberculosis transmitted?,REFERENCE ANSWER: Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs. | EXPECTED CITATIONS: Tuberculosis — Overview,Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs.
Could you tell me: What are the symptoms of tuberculosis?,"REFERENCE ANSWER: Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats. | EXPECTED CITATIONS: Tuberculosis — Symptoms","Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats."
Could you tell me: What is the treatment for tuberculosis?,"REFERENCE ANSWER: Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early. | EXPECTED CITATIONS: Tuberculosis — Treatment","Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early."
Could you tell me: What are the symptoms of dengue fever?,"REFERENCE ANSWER: High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection. | EXPECTED CITATIONS: Dengue — Symptoms","High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection."
Could you tell me: What are the warning signs of severe dengue?,"REFERENCE ANSWER: Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides. | EXPECTED CITATIONS: Dengue — Symptoms","Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides."
Could you tell me: How is dengue prevented?,"REFERENCE ANSWER: Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water. | EXPECTED CITATIONS: Dengue — Prevention and Control","Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water."
Could you tell me: What are the symptoms of malaria?,"REFERENCE ANSWER: Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine. | EXPECTED CITATIONS: Malaria — Symptoms","Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine."
Could you tell me: How is malaria prevented?,"REFERENCE ANSWER: Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis. | EXPECTED CITATIONS: Malaria — Prevention","Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis."
Could you tell me: What is the treatment for malaria?,REFERENCE ANSWER: Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax. | EXPECTED CITATIONS: Malaria — Treatment,Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax.
Could you tell me: What are the common types of mental disorders?,"REFERENCE ANSWER: Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental. | EXPECTED CITATIONS: Mental Health — Types of Mental Disorders","Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental."
Could you tell me: How are mental disorders treated?,"REFERENCE ANSWER: Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder. | EXPECTED CITATIONS: Mental Health — Treatment","Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder."
Could you tell me: What are the symptoms of anaemia?,"REFERENCE ANSWER: Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate. | EXPECTED CITATIONS: Anaemia — Signs and Symptoms","Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate."
Could you tell me: What causes anaemia?,"REFERENCE ANSWER: Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell. | EXPECTED CITATIONS: Anaemia — Causes","Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell."
Could you tell me: What are the symptoms of COVID-19?,"REFERENCE ANSWER: Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion. | EXPECTED CITATIONS: COVID-19 — Symptoms","Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion."
Could you tell me: How can COVID-19 be prevented?,"REFERENCE ANSWER: Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness. | EXPECTED CITATIONS: COVID-19 — Prevention","Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness."
Could you tell me: What are the symptoms of diabetes?,"REFERENCE ANSWER: Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2. | EXPECTED CITATIONS: Diabetes — Symptoms","Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2."
Could you tell me: How can Type 2 diabetes be prevented?,"REFERENCE ANSWER: Healthy weight, at least 150 min/week activity, healthy diet, no tobacco. | EXPECTED CITATIONS: Diabetes — Prevention","Healthy weight, at least 150 min/week activity, healthy diet, no tobacco."
Could you tell me: How do type 1 and type 2 diabetes differ?,"REFERENCE ANSWER: Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable. | EXPECTED CITATIONS: Diabetes — Type 1 Diabetes|Diabetes — Type 2 Diabetes","Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable."
Could you tell me: What medicines are used to treat diabetes?,"REFERENCE ANSWER: Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin. | EXPECTED CITATIONS: Diabetes — Diagnosis and Treatment","Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin."
Could you tell me: What actually happens in the body in diabetes?,REFERENCE ANSWER: Chronic disease: too little insulin or ineffective insulin use raises blood glucose. | EXPECTED CITATIONS: Diabetes — Overview,Chronic disease: too little insulin or ineffective insulin use raises blood glucose.
Could you tell me: Does high blood pressure have symptoms?,"REFERENCE ANSWER: Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness. | EXPECTED CITATIONS: Hypertension — Symptoms","Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness."
Could you tell me: What reading counts as high blood pressure?,REFERENCE ANSWER: BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90). | EXPECTED CITATIONS: Hypertension — Overview,BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90).
Could you tell me: What medicines treat high blood pressure?,"REFERENCE ANSWER: Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics). | EXPECTED CITATIONS: Hypertension — Treatment","Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics)."
Could you tell me: What lifestyle changes help prevent high blood pressure?,"REFERENCE ANSWER: More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol. | EXPECTED CITATIONS: Hypertension — Prevention","More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol."
Could you tell me: How does TB spread?,REFERENCE ANSWER: Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs. | EXPECTED CITATIONS: Tuberculosis — Overview,Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs.
Could you tell me: What are the signs of active TB?,"REFERENCE ANSWER: Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats. | EXPECTED CITATIONS: Tuberculosis — Symptoms","Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats."
Could you tell me: How is TB cured?,"REFERENCE ANSWER: Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early. | EXPECTED CITATIONS: Tuberculosis — Treatment","Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early."
Could you tell me: What does dengue feel like?,"REFERENCE ANSWER: High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection. | EXPECTED CITATIONS: Dengue — Symptoms","High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection."
Could you tell me: How do I know if dengue is turning severe?,"REFERENCE ANSWER: Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides. | EXPECTED CITATIONS: Dengue — Symptoms","Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides."
Could you tell me: How can I protect against dengue?,"REFERENCE ANSWER: Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water. | EXPECTED CITATIONS: Dengue — Prevention and Control","Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water."
Could you tell me: What are the early signs of malaria?,"REFERENCE ANSWER: Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine. | EXPECTED CITATIONS: Malaria — Symptoms","Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine."
Could you tell me: How do you avoid getting malaria?,"REFERENCE ANSWER: Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis. | EXPECTED CITATIONS: Malaria — Prevention","Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis."
Could you tell me: How is malaria treated?,REFERENCE ANSWER: Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax. | EXPECTED CITATIONS: Malaria — Treatment,Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax.
Could you tell me: Which mental disorders are most common?,"REFERENCE ANSWER: Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental. | EXPECTED CITATIONS: Mental Health — Types of Mental Disorders","Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental."
Could you tell me: What treatments exist for mental health conditions?,"REFERENCE ANSWER: Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder. | EXPECTED CITATIONS: Mental Health — Treatment","Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder."
Could you tell me: How does anaemia make you feel?,"REFERENCE ANSWER: Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate. | EXPECTED CITATIONS: Anaemia — Signs and Symptoms","Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate."
Could you tell me: What are the main causes of anaemia?,"REFERENCE ANSWER: Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell. | EXPECTED CITATIONS: Anaemia — Causes","Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell."
Could you tell me: What are common COVID-19 symptoms?,"REFERENCE ANSWER: Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion. | EXPECTED CITATIONS: COVID-19 — Symptoms","Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion."
Could you tell me: How do I reduce the spread of COVID-19?,"REFERENCE ANSWER: Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness. | EXPECTED CITATIONS: COVID-19 — Prevention","Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness."
Could you tell me: What are the warning signs of diabetes?,"REFERENCE ANSWER: Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2. | EXPECTED CITATIONS: Diabetes — Symptoms","Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2."
Could you tell me: What can I do to lower my risk of type 2 diabetes?,"REFERENCE ANSWER: Healthy weight, at least 150 min/week activity, healthy diet, no tobacco. | EXPECTED CITATIONS: Diabetes — Prevention","Healthy weight, at least 150 min/week activity, healthy diet, no tobacco."
Quick question — What is the difference between Type 1 and Type 2 diabetes?,"REFERENCE ANSWER: Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable. | EXPECTED CITATIONS: Diabetes — Type 1 Diabetes|Diabetes — Type 2 Diabetes","Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable."
Quick question — How is diabetes treated?,"REFERENCE ANSWER: Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin. | EXPECTED CITATIONS: Diabetes — Diagnosis and Treatment","Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin."
Quick question — What is diabetes?,REFERENCE ANSWER: Chronic disease: too little insulin or ineffective insulin use raises blood glucose. | EXPECTED CITATIONS: Diabetes — Overview,Chronic disease: too little insulin or ineffective insulin use raises blood glucose.
