input,eval_context,expected_output,output
What is the minimum and maximum sum assured for Saral Jeevan Bima?,"REFERENCE ANSWER: Min Rs.5 lakh, max Rs.25 lakh (higher optional). | EXPECTED CITATIONS: SJB cl.4","Min Rs.5 lakh, max Rs.25 lakh (higher optional).","The minimum sum assured is Rs.5,00,000 and the maximum is Rs.25,00,000; insurers may also offer higher amounts (SJB cl.4 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
How can I pay premiums under Saral Jeevan Bima?,"REFERENCE ANSWER: Single, limited (5/10 yr), or regular premium. | EXPECTED CITATIONS: SJB cl.5","Single, limited (5/10 yr), or regular premium.","Premiums can be paid as a single premium, a limited term of 5 or 10 years, or regular premium equal to the policy term (SJB cl.5 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the waiting period before Saral Jeevan Bima risk cover starts?,REFERENCE ANSWER: 45-day waiting period; non-accidental death limited to premiums paid. | EXPECTED CITATIONS: SJB cl.9,45-day waiting period; non-accidental death limited to premiums paid.,"A waiting period of 45 days applies from commencement of risk; during it, non-accidental death claims are limited to 100% of the premiums paid excluding taxes, as detailed in the Motor Policy cl.9 — Motor Policy. *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Can I cancel Saral Jeevan Bima soon after buying and get a refund?,"REFERENCE ANSWER: 15-day free-look (30 for online), refund less deductions. | EXPECTED CITATIONS: SJB cl.11","15-day free-look (30 for online), refund less deductions.","Premiums can be refunded within the 15-day free-look period (30 days for online purchase), less medical, stamp-duty and proportionate risk-premium deductions. *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What happens if I stop paying Saral Jeevan Bima premiums?,REFERENCE ANSWER: No surrender value; cancellation value for single/limited premium. | EXPECTED CITATIONS: SJB cl.12,No surrender value; cancellation value for single/limited premium.,"No surrender value is payable; however a policy cancellation value applies for single premium and for limited premium after at least 2 years' premiums (SJB cl.12 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is Saral Suraksha Bima in simple terms?,"REFERENCE ANSWER: Personal accident cover: accidental death, PTD, PPD; plus critical illness. | EXPECTED CITATIONS: SSB cl.1","Personal accident cover: accidental death, PTD, PPD; plus critical illness.","Saral Suraksha Bima is a personal accident policy covering accidental death, permanent total disability and permanent partial disability, with a critical-illness section (SSB cl.1 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
How much is paid on accidental death under Saral Suraksha Bima?,REFERENCE ANSWER: Accidental death = 100% of Capital Sum Insured. | EXPECTED CITATIONS: SSB cl.2,Accidental death = 100% of Capital Sum Insured.,"Accidental death is compensated at 100% of the Capital Sum Insured under the Table of Benefits (SSB cl.2 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
How much does Saral Suraksha Bima pay for permanent total disablement?,REFERENCE ANSWER: PTD = 100% of Capital Sum Insured. | EXPECTED CITATIONS: SSB cl.2,PTD = 100% of Capital Sum Insured.,"Permanent total and absolute disablement is compensated at 100% of the Capital Sum Insured (SSB cl.2 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
How much is paid for loss of one eye or one limb under Saral Suraksha Bima?,REFERENCE ANSWER: Loss of one eye/hand/foot = 50% of Capital Sum Insured. | EXPECTED CITATIONS: SSB cl.2,Loss of one eye/hand/foot = 50% of Capital Sum Insured.,"Loss of sight in one eye, or of one hand or one foot, is compensated at 50% of the Capital Sum Insured (SSB cl.2 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What counts as a pre-existing condition in Saral Suraksha Bima?,REFERENCE ANSWER: PED = signs/diagnosis/treatment within 48 months before first policy. | EXPECTED CITATIONS: SSB cl.1,PED = signs/diagnosis/treatment within 48 months before first policy.,"Pre-existing conditions are those going back roughly four years before your first policy (SSB cl.1 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What paperwork does a Saral Suraksha Bima death claim require?,"REFERENCE ANSWER: Claim form, Death Certificate, FIR, Panchnama, post-mortem. | EXPECTED CITATIONS: SSB cl.3","Claim form, Death Certificate, FIR, Panchnama, post-mortem.","A death claim requires a completed claim form, the Death Certificate and original FIR, the original Panchnama and the post-mortem report (SSB cl.3 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the claim-intimation timeline under Saral Suraksha Bima?,REFERENCE ANSWER: Notify immediately; within one calendar month after death. | EXPECTED CITATIONS: SSB cl.3,Notify immediately; within one calendar month after death.,"Notice must be given to the call centre immediately and in writing, and in any case within one calendar month after the death (SSB cl.3 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the arbitration process under Saral Suraksha Bima?,REFERENCE ANSWER: Sole arbitrator / panel of 3; Arbitration & Conciliation Act 1996. | EXPECTED CITATIONS: SSB cl.4,Sole arbitrator / panel of 3; Arbitration & Conciliation Act 1996.,"Disputes over quantum go to a sole arbitrator, or a panel of three if the parties cannot agree within 30 days, under the Arbitration and Conciliation Act 1996 (SSB cl.4 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Where are Saral Suraksha Bima claims payable?,REFERENCE ANSWER: India only; claims in Indian currency. | EXPECTED CITATIONS: SSB cl.4,India only; claims in Indian currency.,"The geographical scope is India, and all claims are payable in Indian currency only (SSB cl.4 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the renewal condition for Saral Suraksha Bima?,REFERENCE ANSWER: Ceasing age 80; renew within 15 days of expiry. | EXPECTED CITATIONS: SSB cl.4,Ceasing age 80; renew within 15 days of expiry.,"The policy is renewable with a ceasing age of 80 years, and must be renewed within 15 days of expiry to maintain continuity (SSB cl.4 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
How is the premium refund calculated on cancelling Saral Suraksha Bima?,"REFERENCE ANSWER: Short-period: 25% retained <=1mo, 50% <=3mo, etc. | EXPECTED CITATIONS: SSB cl.4","Short-period: 25% retained <=1mo, 50% <=3mo, etc.","On cancellation by you, 25% of the annual premium is retained if cancelled within one month, rising to 50% up to three months (provided no claim was made) (SSB cl.4 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What happens if the insurer delays my Saral Suraksha Bima claim payment?,REFERENCE ANSWER: Pay within 7 days of acceptance; delay interest 2% above bank rate. | EXPECTED CITATIONS: SSB cl.4,Pay within 7 days of acceptance; delay interest 2% above bank rate.,"This is addressed in the policy, though the exact terms depend on your schedule (SSB cl.4 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
How does contribution work under Saral Suraksha Bima?,REFERENCE ANSWER: Rateable proportion if other cover exists; CI paid in excess. | EXPECTED CITATIONS: SSB cl.4,Rateable proportion if other cover exists; CI paid in excess.,"If other insurance covers the same loss, the insurer pays only its rateable proportion, except critical-illness cover, which is paid in excess. The benefit is capped at Rs.2,00,000 per policy year (SSB cl.4 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What are the sum insured options for Arogya Sanjeevani?,"REFERENCE ANSWER: SI Rs.1 lakh to Rs.5 lakh, in multiples of Rs.50,000. | EXPECTED CITATIONS: Arogya cl.1","SI Rs.1 lakh to Rs.5 lakh, in multiples of Rs.50,000.","Sum insured options range from Rs.1,00,000 to Rs.5,00,000, in multiples of Rs.50,000 (Arogya cl.1 — Arogya Sanjeevani Standard Health Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What did the Arogya Sanjeevani amendment change about sum insured?,"REFERENCE ANSWER: Amendment allows SI below Rs.1 lakh / above Rs.5 lakh, subject to underwriting. | EXPECTED CITATIONS: Arogya cl.2","Amendment allows SI below Rs.1 lakh / above Rs.5 lakh, subject to underwriting.","Insurers may now offer sum insured below Rs.1 lakh or above Rs.5 lakh, subject to their underwriting policy, in multiples of Rs.50,000. A nominal co-payment of around 10% may also apply (Arogya cl.2 — Arogya Sanjeevani Standard Health Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Which insurers must offer Arogya Sanjeevani?,REFERENCE ANSWER: IRDAI-mandated standard product; all general/health insurers. | EXPECTED CITATIONS: Arogya cl.1,IRDAI-mandated standard product; all general/health insurers.,"Arogya Sanjeevani is a standard health product that IRDAI requires all general and health insurers to offer (Arogya cl.1 — Arogya Sanjeevani Standard Health Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What does the Arogya circular say about premium tables?,REFERENCE ANSWER: Premium tables filed on certification basis for revised SI slabs. | EXPECTED CITATIONS: Arogya cl.3,Premium tables filed on certification basis for revised SI slabs.,"Premium-rate tables for the revised sum-insured slabs are filed on a certification basis under the minor-modifications guidelines (Arogya cl.3 — Arogya Sanjeevani Standard Health Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the indexed Arogya Sanjeevani document?,REFERENCE ANSWER: IRDAI amendment circular (7 Jul 2020): SI extension + premium filing. | EXPECTED CITATIONS: Arogya cl.1,IRDAI amendment circular (7 Jul 2020): SI extension + premium filing.,"The indexed Arogya Sanjeevani document is an IRDAI amendment circular dated 7 July 2020 dealing with sum-insured extension and premium filing. A nominal co-payment of around 10% may also apply (Arogya cl.1 — Arogya Sanjeevani Standard Health Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What benefit does Saral Jeevan Bima provide?,REFERENCE ANSWER: Pure-risk term life; pays Sum Assured lump sum to nominee on death during the term. | EXPECTED CITATIONS: SJB cl.1,Pure-risk term life; pays Sum Assured lump sum to nominee on death during the term.,"Saral Jeevan Bima is a non-linked, non-participating pure-risk term life plan that pays the Sum Assured as a lump sum to the nominee on the life assured's death during the policy term (SJB cl.1 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What do I get if I survive the Saral Jeevan Bima term?,REFERENCE ANSWER: No maturity benefit; pure term plan. | EXPECTED CITATIONS: SJB cl.7,No maturity benefit; pure term plan.,"No maturity benefit is payable — Saral Jeevan Bima is a pure term insurance plan (SJB cl.7 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the entry age for Saral Jeevan Bima?,"REFERENCE ANSWER: Minimum entry age 18, maximum 65. | EXPECTED CITATIONS: SJB cl.2","Minimum entry age 18, maximum 65.","The minimum age at entry is 18 years and the maximum is 65 years. *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
For how long can I take Saral Jeevan Bima cover?,REFERENCE ANSWER: Term 5 to 40 years. | EXPECTED CITATIONS: SJB cl.3,Term 5 to 40 years.,"The minimum policy term is 5 years and the maximum is 40 years (SJB cl.3 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
How much cover can I get under Saral Jeevan Bima?,"REFERENCE ANSWER: Min Rs.5 lakh, max Rs.25 lakh (higher optional). | EXPECTED CITATIONS: SJB cl.4","Min Rs.5 lakh, max Rs.25 lakh (higher optional).","The minimum sum assured is Rs.5,00,000 and the maximum is Rs.25,00,000; insurers may also offer higher amounts. *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What premium payment options does Saral Jeevan Bima offer?,"REFERENCE ANSWER: Single, limited (5/10 yr), or regular premium. | EXPECTED CITATIONS: SJB cl.5","Single, limited (5/10 yr), or regular premium.","Premiums can be paid as a single premium, a limited term of 5 or 10 years, or regular premium equal to the policy term (SJB cl.5 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Is there a waiting period under Saral Jeevan Bima?,REFERENCE ANSWER: 45-day waiting period; non-accidental death limited to premiums paid. | EXPECTED CITATIONS: SJB cl.9,45-day waiting period; non-accidental death limited to premiums paid.,"A waiting period of 45 days applies from commencement of risk; during it, non-accidental death claims are limited to 100% of the premiums paid excluding taxes (SJB cl.9 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
