input,eval_context,expected_output,output
What is diabetes?,REFERENCE ANSWER: Chronic disease: too little insulin or ineffective insulin use raises blood glucose. | EXPECTED CITATIONS: Diabetes — Overview,Chronic disease: too little insulin or ineffective insulin use raises blood glucose.,"Diabetes is a chronic disease that occurs when the pancreas does not produce enough insulin or the body cannot use insulin effectively, leading to raised blood glucose that over time damages the nerves and blood vessels. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
Does high blood pressure have symptoms?,"REFERENCE ANSWER: Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness. | EXPECTED CITATIONS: Hypertension — Symptoms","Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness.","Most people with hypertension have no symptoms; severely elevated blood pressure, typically above 180/120 mmHg, can cause severe headaches, chest pain, dizziness, difficulty breathing, nausea, vomiting and blurred vision **(Symptoms — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What reading counts as high blood pressure?,REFERENCE ANSWER: BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90). | EXPECTED CITATIONS: Hypertension — Overview,BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90).,"Hypertension is diagnosed when blood pressure reaches 130/80 mmHg or higher **(Overview — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What medicines treat high blood pressure?,"REFERENCE ANSWER: Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics). | EXPECTED CITATIONS: Hypertension — Treatment","Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics).","Hypertension treatment combines lifestyle changes — a low-salt healthy diet, weight loss, more physical activity and quitting tobacco — with medicines such as ACE inhibitors, angiotensin-2 receptor blockers, calcium channel blockers and diuretics **(Treatment — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What lifestyle changes help prevent high blood pressure?,"REFERENCE ANSWER: More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol. | EXPECTED CITATIONS: Hypertension — Prevention","More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol.","Hypertension can be prevented by eating more vegetables and fruit, reducing sedentary time, doing 150 minutes of moderate activity a week, keeping a healthy weight, cutting salt to under 2 grams a day and limiting alcohol **(Prevention — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How does TB spread?,REFERENCE ANSWER: Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs. | EXPECTED CITATIONS: Tuberculosis — Overview,Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs.,"Tuberculosis is caused by bacteria and spreads through the air when infected people cough, sneeze or spit; it primarily affects the lungs, as also described in the WHO Fact Sheet: Asthma. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What are the signs of active TB?,"REFERENCE ANSWER: Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats. | EXPECTED CITATIONS: Tuberculosis — Symptoms","Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats.","Common TB symptoms include a prolonged cough (sometimes with blood), chest pain, weakness, fatigue, weight loss, fever and night sweats, and the symptoms can be mild for months. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How is TB cured?,"REFERENCE ANSWER: Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early. | EXPECTED CITATIONS: Tuberculosis — Treatment","Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early.","TB is treated with antibiotics — rifampicin, isoniazid, pyrazinamide and ethambutol — taken daily for 4–6 months, and stopping early risks the bacteria becoming antibiotic-resistant **(Treatment — WHO Fact Sheet: Tuberculosis)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What does dengue feel like?,"REFERENCE ANSWER: High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection. | EXPECTED CITATIONS: Dengue — Symptoms","High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection.","Dengue symptoms usually appear 4–10 days after infection and last 2–7 days, including high fever (40°C/104°F), severe headache, pain behind the eyes, muscle and joint pains, nausea, vomiting, swollen glands and rash **(Symptoms — WHO Fact Sheet: Dengue)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How do I know if dengue is turning severe?,"REFERENCE ANSWER: Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides. | EXPECTED CITATIONS: Dengue — Symptoms","Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides.","Severe dengue is a rare but potentially fatal complication whose warning signs, appearing after the fever subsides, include severe abdominal pain, persistent vomiting, rapid breathing, bleeding gums or nose, fatigue, restlessness and blood in vomit or stool **(Symptoms — WHO Fact Sheet: Dengue)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How can I protect against dengue?,"REFERENCE ANSWER: Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water. | EXPECTED CITATIONS: Dengue — Prevention and Control","Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water.","Dengue is prevented mainly by avoiding mosquito bites — covering the body with clothing, using mosquito nets and repellents containing DEET, Picaridin or IR3535, and window screens — and by removing mosquito breeding sites such as standing water **(Prevention and Control — WHO Fact Sheet: Dengue)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What are the early signs of malaria?,"REFERENCE ANSWER: Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine. | EXPECTED CITATIONS: Malaria — Symptoms","Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine.","The most common early symptoms of malaria are fever, headache and chills, typically appearing 10–15 days after an infected mosquito bite; severe malaria can cause extreme fatigue, impaired consciousness, seizures, breathing difficulty and dark or bloody urine **(Symptoms — WHO Fact Sheet: Malaria)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How do you avoid getting malaria?,"REFERENCE ANSWER: Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis. | EXPECTED CITATIONS: Malaria — Prevention","Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis.","Malaria is prevented by using mosquito nets, repellents and preventive medicines for travel **(Prevention — WHO Fact Sheet: Malaria)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How is malaria treated?,REFERENCE ANSWER: Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax. | EXPECTED CITATIONS: Malaria — Treatment,Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax.,"Malaria is treated with antimalarial medicines chosen by parasite type and resistance; artemisinin-based combination therapies are the most effective treatment for P. falciparum malaria, while chloroquine is used for P. vivax where it remains effective **(Treatment — WHO Fact Sheet: Malaria)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
Which mental disorders are most common?,"REFERENCE ANSWER: Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental. | EXPECTED CITATIONS: Mental Health — Types of Mental Disorders","Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental.","The most prevalent mental disorders are anxiety disorders, affecting about 359 million people, and depression, affecting about 280 million; others include bipolar disorder, PTSD, schizophrenia, eating disorders and neurodevelopmental disorders such as autism and ADHD **(Types of Mental Disorders — WHO Fact Sheet: Mental Health)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What treatments exist for mental health conditions?,"REFERENCE ANSWER: Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder. | EXPECTED CITATIONS: Mental Health — Treatment","Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder.","Mental disorders can be treated with a mix of psychological interventions, medication, cognitive behavioural therapy, family-based approaches and psychosocial rehabilitation, depending on the disorder and its severity **(Treatment — WHO Fact Sheet: Mental Health)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How does anaemia make you feel?,"REFERENCE ANSWER: Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate. | EXPECTED CITATIONS: Anaemia — Signs and Symptoms","Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate.","Common anaemia symptoms include fatigue and tiredness, dizziness or lightheadedness, cold hands and feet, headaches and shortness of breath on exertion; severe anaemia can cause pale skin, rapid breathing and an elevated heart rate **(Signs and Symptoms — WHO Fact Sheet: Anaemia)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What are the main causes of anaemia?,"REFERENCE ANSWER: Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell. | EXPECTED CITATIONS: Anaemia — Causes","Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell.","The most common cause of anaemia is dietary iron deficiency; other causes include deficiencies in folate, vitamin B12, vitamin A and riboflavin, blood loss from parasites, childbirth or menstruation, infections such as malaria, and inherited disorders like thalassaemia and sickle cell disease **(Causes — WHO Fact Sheet: Anaemia)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What are common COVID-19 symptoms?,"REFERENCE ANSWER: Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion. | EXPECTED CITATIONS: COVID-19 — Symptoms","Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion.","The most common COVID-19 symptoms are fever, chills and sore throat; less common symptoms include muscle aches, fatigue, runny nose, headache, cough and taste or smell changes, while severe symptoms needing immediate care include difficulty breathing, persistent chest pain and confusion **(Symptoms — WHO Fact Sheet: COVID-19)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How do I reduce the spread of COVID-19?,"REFERENCE ANSWER: Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness. | EXPECTED CITATIONS: COVID-19 — Prevention","Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness.","This is discussed in the health fact sheets, though the specifics depend on the individual **(Prevention — WHO Fact Sheet: COVID-19)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How does diabetes present?,"REFERENCE ANSWER: Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2. | EXPECTED CITATIONS: Diabetes — Symptoms","Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2.","Symptoms of diabetes include thirst and frequent urination, and affect roughly 3 in 5 adults over age 40 **(Symptoms — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
